"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"FBXO7",3,-1.15723233748345,-0.668128401561007,-1.7981384292271,1.19473494406529,1,2,0.666666666666667,0.247177449243071
"ELOF1",8,-1.16054700541786,-0.410315328708356,-2.63564549402864,1.01830781098467,4,4,0.5,0.245826167451666
"CSNK1G2",7,-1.16215943877645,-0.439254979829842,-0.750774296038825,0.881439230502714,3,4,0.571428571428571,0.24517070714197
"ZFAND3",6,-1.16363797430929,-0.4750532137306,-3.18415529117803,0.233743491403376,0,6,1,0.244570755322779
"TRAPPC5",8,-1.16378192273135,-0.411459044692829,-1.82527787962458,1.10822645611574,2,6,0.75,0.244512399842168
"PTPRA",10,-1.16504794970522,-0.368420510437778,-0.429897353125215,1.2203058068593,2,8,0.8,0.243999584148958
"GNG10",4,-1.16724301568912,-0.583621507844562,-3.62341946759666,0.412624742226136,0,4,1,0.243112243937009
"VDAC2",13,-1.16808460785137,-0.323968380591412,-2.58727437856291,0.624972021014675,2,11,0.846153846153846,0.242772638386541
"ZNF121",3,-1.16838487424139,-0.674567321660352,-1.99844413710442,0.648368866202756,0,3,1,0.242651553421329
"SEMA3B",8,-1.17130765024256,-0.414119791171098,-1.3405527615865,1.23953907665238,3,5,0.625,0.241475137466655
"ARF1",13,-1.17166838677159,-0.324962342026549,-2.49572280698716,1.63801994049176,6,7,0.538461538461538,0.24133021999549
"TOMM7",13,-1.17195061364567,-0.325040617677766,1.11329431568919,0.890773672614484,6,7,0.538461538461538,0.241216884641091
"UBR5",6,-1.17295986196929,-0.47885885843169,-5.21138484879404,0.814575936438452,1,5,0.833333333333333,0.240811902034443
"AGPAT1",10,-1.17360345872437,-0.37112599994204,0.146555259384104,1.48872552369182,3,7,0.7,0.240553895193494
"KCTD10",4,-1.17616133358445,-0.588080666792224,-0.572173861527652,2.10470819789256,2,2,0.5,0.239530412507398
"DCTN1",10,-1.17879175581963,-0.372766683541908,-1.77970203533048,1.06256823538305,3,7,0.7,0.238481107936716
"GPALPP1",3,-1.17973342612774,-0.681119411146849,-2.12486664920093,0.301679111377223,0,3,1,0.238106255009678
"UBAP1",5,-1.18004093361844,-0.52773034876063,-0.971741084215021,1.90690789702492,3,2,0.6,0.237983934929482
"PMP22",4,-1.1844592762279,-0.592229638113951,-0.679973635014831,0.655184134911988,0,4,1,0.236231307647497
"JAGN1",4,-1.18454153132255,-0.592270765661274,-2.40419090239778,0.763754295712951,1,3,0.75,0.236198766239424
"SERINC5",6,-1.18833168479289,-0.485134378820738,-2.70945400337452,0.429888745871856,0,6,1,0.234702759341219
"MAT2A",11,-1.18851872598337,-0.358351879127095,-4.97095995738239,1.27498463245566,4,7,0.636363636363636,0.234629106679961
"P4HB",13,-1.19292827377621,-0.330858773773143,-0.843257988084684,1.26188978283077,6,7,0.538461538461538,0.232897465007486
"STT3A",12,-1.19690800978704,-0.345517580822883,-3.33831285115091,0.776825488391695,5,7,0.583333333333333,0.231342411841997
"JUNB",13,-1.19747636237965,-0.332120186593533,-0.0956517991038712,1.86580205648859,5,8,0.615384615384615,0.231120935433533
"MGMT",8,-1.20039330491738,-0.424403122999006,-1.54053128547417,0.674085634159809,1,7,0.875,0.229986627827139
"FOSL2",11,-1.2004836018324,-0.361959424932045,-0.804288169464299,1.09771594359941,3,8,0.727272727272727,0.229951577473481
"RSRC2",11,-1.20242157939494,-0.362543747152687,-1.69844198578821,0.588804918474319,4,7,0.636363636363636,0.229200232598208
"GSDMD",9,-1.20380521103098,-0.401268403676992,-1.232206531326,1.19918207666495,4,5,0.555555555555556,0.228664875121783
"ESYT1",9,-1.20477464982711,-0.40159154994237,-3.44980755407269,1.03876029531357,4,5,0.555555555555556,0.228290308796776
"MTDH",12,-1.20523159524756,-0.34792039297601,-0.391542689189927,0.992691884308077,3,9,0.75,0.22811390840892
"FILIP1L",4,-1.20630324015228,-0.603151620076141,-0.657152209171813,1.67227819464408,2,2,0.5,0.22770058879492
"ZDHHC4",4,-1.20748388104174,-0.603741940520868,-8.60646621649143,0.724025318272405,0,4,1,0.227245849017656
"CRISPLD2",3,-1.20756735392278,-0.697189336851923,-0.60257641852621,0.654731044479508,0,3,1,0.227213722833922
"CFAP36",6,-1.20759196990497,-0.492997357291592,-8.24869759431676,0.654603211339838,0,6,1,0.227204249506199
"DNAJC1",4,-1.20806205442763,-0.604031027213817,-3.26244099121505,1.28709344919176,1,3,0.75,0.227023394051406
"TMBIM1",13,-1.21118045852911,-0.335921019005129,-0.33793865014969,0.48746427754392,5,8,0.615384615384615,0.225826250425041
"NCALD",5,-1.2116619781768,-0.541871709791037,-1.78317861218111,1.20470203077606,1,4,0.8,0.22564179921149
"MYDGF",13,-1.21209683918822,-0.336175177270843,-0.141064565828967,0.960660872352925,4,9,0.692307692307692,0.225475313537017
"PRRC2A",13,-1.21216320443253,-0.336193583677863,-0.956146029292947,1.63345045479118,6,7,0.538461538461538,0.225449913451448
"CSNK2B",11,-1.21305910069939,-0.365751080504167,-0.0736171679285096,1.35169204328032,5,6,0.545454545454545,0.225107225458339
"MBD3",8,-1.21368577877446,-0.42910272220055,-0.831642713044902,1.17207589115206,1,7,0.875,0.22486773698487
"ATP6V1G1",9,-1.21381797924791,-0.404605993082636,-3.77960917368971,0.837326977317897,1,8,0.888888888888889,0.224817239105411
"DCUN1D4",4,-1.21515346163324,-0.607576730816618,-3.02515622679211,1.04428785309735,2,2,0.5,0.224307566411541
"IFNAR2",4,-1.21926312632306,-0.609631563161531,-8.04668800149322,0.582054850768123,0,4,1,0.222744339196477
"SERPINE2",3,-1.21939244822591,-0.704016558231029,-0.943797250105593,2.23821329544642,1,2,0.666666666666667,0.222695274822607
"SF3B1",11,-1.22080200185802,-0.368085653043438,-2.15313930224039,1.20967056097112,3,8,0.727272727272727,0.222160995686698
"LSM12",4,-1.22163162846678,-0.61081581423339,-1.97400392258468,0.335044318635006,0,4,1,0.221846962353413
"CDKN2C",3,-1.22414195390882,-0.706758686615571,-2.77292171573042,0.329264232854521,0,3,1,0.220898681793904
"PSMC3",13,-1.22441407233256,-0.339591363091902,-0.631436082059318,1.00397755032346,4,9,0.692307692307692,0.220796063350675
"PLOD2",6,-1.22656595227305,-0.500743453156652,-1.43454122104954,1.53538441670068,3,3,0.5,0.219985772718036
"MIA3",3,-1.22687931279565,-0.708339101505752,-3.81524479644804,1.28059927156942,1,2,0.666666666666667,0.219867954984654
"PEPD",7,-1.22780450054851,-0.464066481008177,-10.1711393463508,0.664553287057245,2,5,0.714285714285714,0.21952036579934
"GNL1",11,-1.22808235624696,-0.370280762484248,-1.17568602616459,1.43670538465494,5,6,0.545454545454545,0.219416053630587
"TMEM147",12,-1.23377423043744,-0.356159942031139,-1.66936143587053,0.977494756494919,4,8,0.666666666666667,0.217287044470914
"LRP10",13,-1.23474074857468,-0.34245546776083,-0.563352040425193,0.677441577750171,4,9,0.692307692307692,0.216927005255617
"UBQLN1",11,-1.24066330875653,-0.374074062391479,-2.29096023911419,1.2875858571149,4,7,0.636363636363636,0.214730154000604
"SUMO1",12,-1.24506507025903,-0.359419326736325,-3.76739978236674,0.919160698212929,4,8,0.666666666666667,0.213107832428449
"FKBP5",5,-1.24520561670527,-0.556872880983508,-2.57779879014267,0.737669492704161,1,4,0.8,0.213056178531162
"SPRY2",5,-1.24665711362233,-0.557522010138642,-2.07177922869751,1.13631197305953,1,4,0.8,0.21252325024265
"RPS10",10,-1.24707125494741,-0.394358557015835,-0.541172607742786,1.6164189136176,5,5,0.5,0.212371371753934
