dataset,sample,sample_label,malignant_threshold,variable,variable_type,n_spots,n_low,n_high,low_snai1ac_threshold,high_snai1ac_threshold,low_mean,high_mean,high_minus_low,cohens_d
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_ADIPOGENESIS_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,-0.06511828005645308,0.02320377237566811,0.08832205243212118,0.08504871325471318
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_ALLOGRAFT_REJECTION_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,0.10078213574856824,-0.026095675035882688,-0.12687781078445093,-0.11883184816498098
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_ANDROGEN_RESPONSE_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,0.02067809032861651,-0.13949086108945968,-0.1601689514180762,-0.16875839774832999
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_ANGIOGENESIS_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,-0.19895931687187088,0.303269321850823,0.5022286387226939,0.507487848024093
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_APICAL_JUNCTION_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,0.28928661421582363,-0.3118365209652683,-0.601123135181092,-0.6053420535803699
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_APICAL_SURFACE_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,-0.10337751905127106,0.31889357053538436,0.42227108958665543,0.38756096048101357
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_APOPTOSIS_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,0.2870860538444924,-0.34884932878508623,-0.6359353826295786,-0.6355610286235899
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_BILE_ACID_METABOLISM_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,-0.11175841012538631,0.24707400297489407,0.35883241310028036,0.3624093718847421
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_CHOLESTEROL_HOMEOSTASIS_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,0.012443788891172734,0.0009257003379041776,-0.011518088553268555,-0.01083478923410697
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_COAGULATION_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,0.056085807534078304,0.0007290343591162982,-0.05535677317496201,-0.05569980847498199
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_COMPLEMENT_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,-0.007902357282159657,-0.018395778022185012,-0.010493420740025355,-0.010460754208067935
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_DNA_REPAIR_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,-0.19485278968015485,0.17715818683636134,0.37201097651651616,0.384040011678776
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_E2F_TARGETS_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,-0.07894745759274405,0.05911715231306505,0.1380646099058091,0.1298229059204008
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,-0.0006824759247650022,0.14151307424245738,0.14219555016722238,0.12541484427701002
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_ESTROGEN_RESPONSE_EARLY_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,-0.05295649339861138,0.0042912038729515205,0.0572476972715629,0.05532742028583493
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_ESTROGEN_RESPONSE_LATE_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,0.10011522872645821,-0.10982490056247919,-0.2099401292889374,-0.2092647377417597
denisenko_2022,SP1,denisenko_2022__SP1,0.1,HALLMARK_FATTY_ACID_METABOLISM_score,hallmark,2386,597,597,-0.6569031256334201,0.6744692958678382,0.08479886706730094,-0.019852403409437794,-0.10465127047673874,-0.10342053202278677
