summary_type,specification,metric,median,iqr_low,iqr_high,n_samples
specification,full_primary,in_sample_r2,0.07395598605071296,0.05232642907834201,0.11225797435499218,23
specification,full_primary,cv_r2,0.06818825874793155,0.04834134971267107,0.10511988323465987,23
specification,without_b1,in_sample_r2,0.04260239760946294,0.01768634538889391,0.07883279025994311,23
specification,without_b1,cv_r2,0.03956024438547168,0.01176854330613758,0.07362250869163861,23
specification,clean_floor_robust,in_sample_r2,0.06391078462063671,0.04837431407470377,0.10127487622734849,23
specification,clean_floor_robust,cv_r2,0.06220395484466801,0.044335022551951875,0.09883785824234526,23
delta,full_minus_without_b1,in_sample_delta_r2,0.029679715798433093,0.00917100008173699,0.05383111087090703,23
delta,full_minus_without_b1,cv_delta_r2,0.028335991251839276,0.008478416316240245,0.053409043589678074,23
