cell_type,spearman_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
Endothelial,-0.0720554218320405,0.0011723957451961,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Plasma,-0.033100057970499,0.1363928722844814,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
B cell,0.0278920085865927,0.2095079521632784,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
T CD4,-0.0666363608005011,0.0026921725762221,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
T CD8,0.0045243060142469,0.8387290869302412,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
NK,-0.0065184334041122,0.7693509696881556,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
cDC,0.0111960465820607,0.614506469291159,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
pDC,-0.0445207562027466,0.0451037711858587,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Macrophage,-0.0979080927409973,1.0108357149915874e-05,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Mast,-0.0088265997736383,0.6913249910090522,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Neutrophil,-0.1340328544686712,1.3903679568936314e-09,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Unidentifiable,-0.0480587343576786,0.0305341167803644,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Malignant,0.215679873723436,1.2219225629120576e-23,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
CAF,-0.1533760800148351,1.39303428666723e-12,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Endothelial,-0.0930135339301737,1.8662904919806296e-05,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Plasma,-0.1350558924939289,4.660940703963776e-10,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
B cell,-0.033911649844569,0.1193240884294944,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
T CD4,-0.1787973552115581,1.264555449974685e-16,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
T CD8,-0.05696864194499,0.0088437599040353,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
NK,-0.087620292691523,5.550720134797986e-05,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
cDC,-0.1078629469616903,6.785907070838364e-07,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
pDC,-0.1508231279079136,3.273856396967707e-12,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Macrophage,-0.2007553786453725,1.2387835740003215e-20,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Mast,-0.057648372649495,0.0080652781461608,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Neutrophil,0.0008826529664339,0.96767056970114,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Unidentifiable,-0.1422064202649993,5.2639302831552885e-11,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Malignant,0.2718540504289223,1.6757930941547494e-56,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
CAF,-0.2367839481368675,6.6427571705639145e-43,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Endothelial,-0.0951624451607811,4.979051848189363e-08,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Plasma,0.0232649739394968,0.1835006024919541,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
B cell,-0.2265618187224988,2.472568637069565e-39,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
T CD4,-0.0067935703831345,0.6977652569990578,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
T CD8,-0.0263043174422468,0.1326151199495537,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
NK,0.0041479774715373,0.8125730695225273,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
cDC,0.0676537372923751,0.0001080955210971,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
pDC,-0.1741631977216935,1.0993833556280328e-23,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Macrophage,0.0020602228376485,0.9062525255598536,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Mast,-0.0108807990882728,0.5339502849553757,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Neutrophil,-0.0347879165880357,0.0466845720389367,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Unidentifiable,-0.2889576913292301,6.450805223596016e-64,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Malignant,0.0613974034797832,6.818635824644809e-05,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
CAF,-0.0313478767372732,0.0421584112100234,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Endothelial,0.0201704261477546,0.1911284337702832,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Plasma,-0.0524269801164893,0.0006743701288389,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
B cell,-0.0532275454385255,0.0005568999077176,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
T CD4,-0.0024245993860508,0.8751480080435206,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
T CD8,-0.0488098598667835,0.0015511570237288,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
NK,-0.0193961717797183,0.2087322635009412,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
cDC,-0.0207112547681919,0.1794965419626691,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
pDC,0.0161203188197152,0.2961515862305435,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Macrophage,-0.0212807052836533,0.1678264976757461,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Mast,0.0190366168864473,0.2172952803911071,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Neutrophil,0.0051865700387782,0.736787609518179,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Unidentifiable,-0.1112620355021225,4.736929223857967e-13,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Malignant,0.1096230461469477,6.311876636966535e-10,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
CAF,-0.0571038572957901,0.001311674330256,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Endothelial,-0.0941043107061437,1.139182326550884e-07,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Plasma,-0.0693439695840905,9.472612578048375e-05,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
B cell,-0.0346386740295356,0.0513885392443052,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
T CD4,-0.0617353299430189,0.0005117678403381,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
T CD8,-0.0432387829844852,0.0150018666144336,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
NK,-0.0551634831673785,0.001908892816238,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
cDC,-0.0874229156905518,8.436951724082965e-07,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
pDC,-0.0797028792218155,7.168834848964422e-06,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Macrophage,-0.0953579475706506,7.70252990244756e-08,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Mast,-0.0414747873875599,0.019647319776032,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Neutrophil,-0.009686195724598,0.5860007161279288,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Unidentifiable,-0.083790598744669,2.3629323666979367e-06,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Malignant,0.0661688864767547,0.0002644999962018,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
CAF,0.0447255403326775,0.0137325060786993,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Endothelial,-0.0897256712911963,7.382764791303946e-07,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Plasma,-0.1231356724906954,9.981435832484506e-12,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
B cell,-0.0690837118954512,0.0001396075668264,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
T CD4,0.0078452569283302,0.6657193515072757,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
T CD8,0.0301253259341632,0.0970508742747217,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
NK,0.0069530770899686,0.701795653473223,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
cDC,-0.0597119944725274,0.0009977327083487,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
pDC,-0.0381445852499431,0.0356132304980721,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Macrophage,-0.0775879073823932,1.876731847805207e-05,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Mast,-0.0475480740673575,0.0087964381236773,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Neutrophil,-0.0775612722460104,1.889193168506417e-05,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Unidentifiable,-0.0969801480161635,8.644178587476155e-08,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Malignant,0.3154081806251694,5.0999194796323154e-104,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
CAF,-0.1697882299185903,2.54508426023102e-30,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Endothelial,-0.2410931862941161,2.9899231143739197e-60,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Plasma,-0.318554867688904,3.5259326711432383e-106,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
B cell,-0.2502409343989015,6.44668381963088e-65,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
T CD4,-0.0732826982736455,9.121482924744728e-07,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
T CD8,-0.0316156641705608,0.0343595144550428,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
NK,-0.0885585800195478,2.905944069675125e-09,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
cDC,-0.1822928206576452,9.080409739830371e-35,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
pDC,-0.2273822388248509,1.2829735855029414e-53,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Macrophage,-0.1900687224494143,1.0573193335829575e-37,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Mast,-0.1149032154935813,1.2255933136834617e-14,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Neutrophil,0.0228145528026092,0.1268495531744287,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Unidentifiable,-0.3976353432139419,1.432389905730631e-169,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Malignant,0.2678378327826124,8.198034129939095e-59,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
CAF,-0.2512244395317085,9.89001518426163e-52,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Endothelial,-0.0720045244731111,1.9286716498067967e-05,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Plasma,-0.215304051453132,3.851647880691449e-38,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
B cell,-0.0149940197647249,0.3741693033726894,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
T CD4,-0.0161464476119849,0.3385655550292876,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
T CD8,-0.0299632580514046,0.0756980355264921,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
NK,-0.0207714972710811,0.2182541996161264,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
cDC,-0.0150241638066141,0.3732095018126364,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
pDC,-0.0053695236259788,0.7503071777336129,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Macrophage,-0.1684330581983583,8.792394091173079e-24,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Mast,0.0892761195537212,1.1475544292447113e-07,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Neutrophil,0.0864255338699436,2.8709162024136724e-07,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Unidentifiable,0.1066236890558217,2.3387393598086053e-10,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Malignant,0.299383989031546,3.851330646049533e-75,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
CAF,-0.1523805049508189,4.549254010471081e-20,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Endothelial,-0.2255376896039183,1.4144354535871966e-42,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Plasma,-0.2296359635594963,4.094323825253566e-44,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
B cell,-0.1723930924742742,2.576404827735733e-25,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
T CD4,-0.0581322792044212,0.0004969521848136,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
T CD8,0.0163181515588164,0.3286822887596613,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
NK,-0.0168890362048356,0.3120411795323982,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
cDC,-0.130562522707838,4.2170399618584975e-15,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
pDC,-0.1774371523718917,9.60438007189056e-27,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Macrophage,-0.1859538750788957,2.966405997237771e-29,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Mast,0.0186025525292267,0.265479442828661,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Neutrophil,-0.1564678181870718,4.37055545158017e-21,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Unidentifiable,-0.3271960658783969,3.2319697451601643e-90,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Malignant,0.2370926582387676,5.568074334795335e-29,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
CAF,-0.1491658982806172,3.223802761471413e-12,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Endothelial,-0.1195520322758624,2.5030620651687104e-08,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Plasma,-0.178215633949741,7.133077536751235e-17,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
B cell,-0.0766154540880191,0.0003653259280022,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
T CD4,-0.0918541684743541,1.906523791486305e-05,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
T CD8,-0.0201723102005971,0.348718998418527,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
NK,0.0062359745210234,0.7720786892557998,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
cDC,-0.1020480745087434,2.009848420915691e-06,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
pDC,-0.0751332756356904,0.0004744203463288,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Macrophage,-0.1287647352054301,1.9015877596586463e-09,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Mast,-0.0689989103595417,0.0013331434857779,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Neutrophil,-0.1463910742207492,8.111485555276636e-12,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Unidentifiable,-0.289309182210948,6.457917231083768e-43,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
