cell_type,spearman_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
Mast,0.0066656961783603,0.7969788279483809,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
Neutrophil,-0.0602131551518523,0.0200196348659299,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
Unidentifiable,-0.2358812372583454,2.601880154800242e-20,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
Malignant,0.4375379531080329,2.471464741630122e-133,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
CAF,-0.2299159109460657,1.970197617656412e-35,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Endothelial,-0.2506705683825551,5.2951363183439175e-42,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Plasma,-0.278099982637254,1.1313552174646186e-51,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
B cell,-0.2134657467409147,1.1494651752731596e-30,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
T CD4,-0.040323876057474,0.0315261239709785,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
T CD8,-0.0041805379619161,0.8236541433534158,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
NK,-0.0083810480094042,0.6550442646467672,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
cDC,-0.1447608776535868,8.663595994002157e-15,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
pDC,-0.2415284069252057,4.9645435519203887e-39,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Macrophage,-0.1119885448396635,2.118163805052264e-09,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Mast,-0.207752661298433,4.228097842792695e-29,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Neutrophil,-0.0761987391351417,4.747056762659928e-05,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
