dataset,sample,balance,spearman_r
yamamoto_2025,Pt1-3,b5,-0.08803028311520225
yamamoto_2025,Pt1-3,b6,-0.14765923929441982
yamamoto_2025,Pt1-3,b7,0.06870064105611746
yamamoto_2025,Pt1-3,b8,-0.024006085236990524
yamamoto_2025,Pt1-3,b9,-0.005911457262312044
yamamoto_2025,Pt1-3,b10,-0.04287521694113593
yamamoto_2025,Pt1-3,b11,0.03739097860595255
yamamoto_2025,Pt1-3,b12,-0.015423464065017583
yamamoto_2025,Pt1-4,b1,0.2296989356835472
yamamoto_2025,Pt1-4,b2,-0.1949910964475666
yamamoto_2025,Pt1-4,b3,-0.31409333110541776
yamamoto_2025,Pt1-4,b4,-0.10490306717177163
yamamoto_2025,Pt1-4,b5,-0.11712671381891827
yamamoto_2025,Pt1-4,b6,-0.07229606776405574
yamamoto_2025,Pt1-4,b7,0.10789875928906781
yamamoto_2025,Pt1-4,b8,-0.13862548586677195
yamamoto_2025,Pt1-4,b9,-0.006383824921284234
yamamoto_2025,Pt1-4,b10,0.02116679265186781
yamamoto_2025,Pt1-4,b11,-0.011171191567199796
yamamoto_2025,Pt1-4,b12,-0.08441753334569987
yamamoto_2025,Pt2-1,b1,0.08781933194576273
yamamoto_2025,Pt2-1,b2,-0.3141970725043552
yamamoto_2025,Pt2-1,b3,-0.2658505297864186
yamamoto_2025,Pt2-1,b4,0.07866009514797247
yamamoto_2025,Pt2-1,b5,-0.27010982296371194
yamamoto_2025,Pt2-1,b6,-0.21526953706279545
yamamoto_2025,Pt2-1,b7,0.09343942882470956
yamamoto_2025,Pt2-1,b8,-0.019277511379263992
yamamoto_2025,Pt2-1,b9,0.09853894789465631
yamamoto_2025,Pt2-1,b10,0.05033847406234957
yamamoto_2025,Pt2-1,b11,0.039093708892579224
yamamoto_2025,Pt2-1,b12,-0.0411960984866262
yamamoto_2025,Pt2-2,b1,0.1090593706181039
yamamoto_2025,Pt2-2,b2,-0.041898963574754186
yamamoto_2025,Pt2-2,b3,-0.03824652964080257
