cell_type,partial_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
pDC,0.0342759554907049,0.1230007545887167,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Macrophage,-0.0302038663575717,0.1741527516045864,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Mast,0.0337170949163274,0.1292316978506984,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Neutrophil,-0.0802221424681642,0.0003009444076651,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Unidentifiable,0.0705142963594073,0.0014936125255452,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Malignant,,,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
CAF,0.0156095183980415,0.4734926486108132,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Endothelial,0.0524571696216538,0.0159346348730365,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Plasma,0.0079530016873102,0.7149658953667636,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
B cell,-0.0259912483395922,0.2326038119864743,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
T CD4,-0.0142874231381501,0.5117667397899954,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
T CD8,-0.0169755074976404,0.4356590809766294,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
NK,0.0230782654575171,0.2892090577488417,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
cDC,0.0865426433067459,6.8518710379172e-05,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
pDC,0.0226776958995739,0.2976632287581783,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Macrophage,-0.0311297846279446,0.1527811460546669,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Mast,-0.0408483397314087,0.0605902425512566,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Neutrophil,0.0699081001657438,0.0013089914823104,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Unidentifiable,0.0563275798660725,0.0096387134499193,visium/yamamoto_2025,Pt2-3,yamamoto_2025,yamamoto_2025__Pt2-3,primary tumor,BRCAwt
Malignant,,,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
CAF,0.0386579396962258,0.0270640070928891,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Endothelial,0.1526487348053158,1.6759673970256791e-18,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Plasma,0.1009039546242717,7.353713148834826e-09,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
B cell,-0.0984173272684346,1.7061278355954693e-08,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
T CD4,0.0466056141134239,0.0076869161613365,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
T CD8,0.0087474230315843,0.6170538097783878,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
NK,0.0464833834747975,0.0078484101575963,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
cDC,0.1532288851039894,1.2408348130640402e-18,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
pDC,0.0544757886735855,0.0018315957365979,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Macrophage,0.2061627478368509,1.0141511235227067e-32,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Mast,0.1329789453104314,2.2532970495896467e-14,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Neutrophil,0.0083889301630502,0.6315567321768727,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Unidentifiable,-0.13043122271332,7.007910318182541e-14,visium/yamamoto_2025,Pt2-4,yamamoto_2025,yamamoto_2025__Pt2-4,primary tumor,BRCAwt
Malignant,,,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
CAF,0.0172797655025508,0.2627675683404161,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Endothelial,0.0957268700284463,5.044186228137342e-10,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Plasma,-0.0301705974573158,0.0505114719716274,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
B cell,-0.0260299833137498,0.0915800578029111,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
T CD4,0.0119911387147893,0.4371019642389614,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
T CD8,-0.0444561864070754,0.0039472896479415,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
NK,-0.0135379036099449,0.3802995981653132,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
cDC,-0.0020789405481712,0.8928309885557398,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
pDC,0.0688285665978458,7.983284614411948e-06,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Macrophage,0.0117876204616587,0.4449231521645891,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Mast,0.0240341660379963,0.1192986264046945,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Neutrophil,0.0136107429764413,0.3777414899995949,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Unidentifiable,-0.1215181662287289,2.6984357175231804e-15,visium/ju_2024,CPS_OV19_LtOV1,ju_2024,ju_2024__CPS_OV19_LtOV1,primary tumor,BRCAmut
Malignant,,,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
CAF,0.0076216968310236,0.6682485315664038,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Endothelial,-0.0200172060476541,0.2603244595227919,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Plasma,-0.0149078228951753,0.4018779653100527,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
B cell,0.0060068518379681,0.7355503753370496,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
T CD4,-0.0144109691966682,0.4177500887178038,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
T CD8,-0.0234166664040898,0.1878940863918062,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
NK,-0.0389125307720547,0.028613394814087,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
cDC,-0.0497903400038979,0.0050895638173607,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
pDC,-0.0201752191879457,0.2565798802428634,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Macrophage,-0.0650220287222626,0.0002523323703671,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Mast,0.0094144412063712,0.596556040465661,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Neutrophil,0.015893040201294,0.3714942668521745,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Unidentifiable,0.0232149161104322,0.1917273865756067,visium/ju_2024,CPS_OV1RtOV3,ju_2024,ju_2024__CPS_OV1RtOV3,primary tumor,BRCAwt
Malignant,,,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
CAF,0.1526963171782218,2.711938174994468e-17,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Endothelial,-0.0450359501880138,0.0130902327339733,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Plasma,-0.1057118859447671,5.2919994783802725e-09,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
B cell,-0.0386274025268286,0.0333426111113732,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
T CD4,0.0232781620064222,0.1998220222383143,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
T CD8,0.0359365570411878,0.0477486343019855,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
NK,0.0109808894879067,0.5453681207148768,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
cDC,-0.0365164674111647,0.044265833090893,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
pDC,0.0043206621745204,0.8119338822926528,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Macrophage,-0.0384758942883954,0.0340414175375819,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Mast,-0.037244051748165,0.0402015067475254,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Neutrophil,-0.071524599115854,8.020785101931326e-05,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Unidentifiable,-0.0685720388500733,0.0001564602505828,visium/ju_2024,CPS_OV20RtOV4,ju_2024,ju_2024__CPS_OV20RtOV4,primary tumor,BRCAmut
Malignant,,,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
CAF,0.1580205465719437,1.95098836001138e-26,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Endothelial,0.0197962529418626,0.1852936372629882,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Plasma,-0.1357588719782068,7.144069823520743e-20,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
B cell,-0.1351969251060212,1.0150756169176508e-19,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
T CD4,-0.0207023081806785,0.1659697495461162,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
T CD8,-0.0088836623679455,0.5522527459396622,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
NK,-0.0364117383040056,0.0148098608983579,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
cDC,-0.0769358001589324,2.534163114265924e-07,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
pDC,-0.0345876832771807,0.0206217641930526,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Macrophage,0.039309865721313,0.0085106883438729,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Mast,-0.0489682640722351,0.0010444572616123,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Neutrophil,0.0227803441447436,0.1274202180419584,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Unidentifiable,-0.2092584881480466,1.6713482177915532e-45,visium/ju_2024,CPS_OV24RTOV4,ju_2024,ju_2024__CPS_OV24RTOV4,primary tumor,BRCAmut
Malignant,,,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
CAF,-0.0327950467136906,0.0518754869164709,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Endothelial,0.0263870352145265,0.1177857394284329,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Plasma,-0.0231916219745519,0.1692345143120119,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
B cell,0.0380805478124951,0.0239635040764116,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
T CD4,0.0472521162159664,0.0050782859961348,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
T CD8,0.0226376063460954,0.1796543012894255,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
NK,0.026618438438416,0.1145984192408594,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
cDC,0.0275310458869601,0.1026849906298801,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
pDC,0.0413623868682018,0.0141888234908508,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Macrophage,0.0089889553638602,0.5942043500887695,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Mast,0.0580658066205759,0.0005726365350165,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Neutrophil,0.0649975106409991,0.0001151429971107,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Unidentifiable,0.0452137246221458,0.0073397385283496,visium/ju_2024,CPS_OV34RtOV1,ju_2024,ju_2024__CPS_OV34RtOV1,primary tumor,BRCAwt
Malignant,,,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
CAF,0.0490776644448321,0.0032899146029139,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Endothelial,0.0063333061083528,0.7046303604592052,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Plasma,-0.048126537229298,0.0039486468894919,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
B cell,-0.0025811069288747,0.8772235500869189,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
T CD4,-0.0198272033729292,0.2352852625863734,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
T CD8,0.0171249516103896,0.305329294958283,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
NK,-0.0203133157809676,0.2240007546186203,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
cDC,0.0092955802432522,0.5779445605573219,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
pDC,0.0209027056593095,0.2108443695964678,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Macrophage,-0.0042258675428611,0.8003175461852101,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Mast,0.0176478200126875,0.2907970644510268,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Neutrophil,-0.041592499827584,0.012754384908417,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Unidentifiable,-0.1361674267408227,2.6488006645603554e-16,visium/ju_2024,CPS_OV5LtOV4,ju_2024,ju_2024__CPS_OV5LtOV4,primary tumor,BRCAwt
Malignant,,,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
CAF,0.0488808413763996,0.0230974318400791,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Endothelial,0.0298932010697969,0.1648885317867589,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Plasma,-0.0309911584934385,0.1499095659019038,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
B cell,-0.0020507448328148,0.924112335514083,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
T CD4,-0.0301709867940722,0.1609964389551927,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
T CD8,0.0069891464615773,0.7454519522001944,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
NK,0.0350783349179636,0.1031328749137304,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
cDC,-0.0240888072686886,0.2631141557995047,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
pDC,0.0193967865483956,0.3675648674765674,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Macrophage,-0.0042929041079685,0.8419486241304136,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Mast,-0.0125560755066539,0.5597325206651993,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Neutrophil,-0.0361092896055815,0.0933893090500687,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
Unidentifiable,-0.1259369423882219,4.279052006526412e-09,visium/ju_2024,CPS_OV71_1,ju_2024,ju_2024__CPS_OV71_1,primary tumor,BRCAmut
