cell_type,partial_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
Neutrophil,-0.0501254986129693,0.0528967962734092,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
Unidentifiable,-0.0242221984326001,0.3498039061517854,visium/denisenko_2022,SP3,denisenko_2022,denisenko_2022__SP3,primary tumor,unknown
Malignant,,,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
CAF,0.1858067399743708,1.6573422289331854e-23,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Endothelial,0.0645094302514326,0.0005767741912409,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Plasma,-0.1249167803742927,2.3095915171129145e-11,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
B cell,-0.0630444377992653,0.0007682825201158,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
T CD4,0.0510668662340168,0.0064509496661516,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
T CD8,0.020949143265951,0.2640662619583654,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
NK,0.0129955109303528,0.4884574481804394,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
cDC,-0.0594469733525093,0.0015156567112099,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
pDC,-0.0369725003635552,0.0486644413056811,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Macrophage,0.0869447823161844,3.426397125683455e-06,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Mast,-0.0875958699581638,2.8918434747103976e-06,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Neutrophil,0.0087116426955794,0.6423689128904355,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Unidentifiable,-0.2473315888677069,6.662695171913448e-41,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Malignant,,,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
CAF,0.0540144998234355,0.0160143740058789,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Endothelial,0.0690260228443262,0.002074177001214,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Plasma,0.0091707420479251,0.6827985628118871,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
B cell,0.0364664553777985,0.1040672224136382,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
T CD4,0.0262462367397707,0.2421192008746522,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
T CD8,0.005134301731653,0.8190394426754598,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
NK,-0.0097552243831233,0.6637853510454177,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
cDC,-0.0494512381611454,0.0274650268276678,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
pDC,0.0327034075772982,0.1449454818507232,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Macrophage,-0.1010621155933735,6.338109033762455e-06,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Mast,-0.0068194323027557,0.7612267217073403,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Neutrophil,-0.0192680076002563,0.3905381131243851,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Unidentifiable,0.0454922407538116,0.0425463177683124,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Malignant,,,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
CAF,0.0019737624467281,0.93409156558802,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Endothelial,-0.0462883452159062,0.0523236827042166,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Plasma,-0.1139921020481635,1.6533620531921522e-06,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
B cell,0.0033777803418778,0.8874552361608427,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
T CD4,-0.0227133458721007,0.3412074634943797,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
T CD8,-0.0180747466329028,0.4488282004502982,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
NK,-0.050983297247059,0.032555443857892,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
cDC,0.0651933098587844,0.0062489642910173,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
pDC,0.0021830428404466,0.927121732873047,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Macrophage,-0.0207082042877208,0.3855368809630951,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Mast,0.0188479503191084,0.4296594476160515,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Neutrophil,-0.0145998536414939,0.540704949956897,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Unidentifiable,0.1317115486680576,2.9783671207614226e-08,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Malignant,,,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
CAF,0.2530619683394849,3.797617147631701e-51,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Endothelial,0.0317778926667432,0.0630655512938313,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Plasma,-0.0570537150553651,0.0008407422119015,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
B cell,-0.0493202092786278,0.0039038418631974,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
T CD4,-0.0006980529714045,0.9674396393056952,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
T CD8,0.0454780681224922,0.0077961148109633,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
NK,0.0239947393564134,0.160518397372302,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
cDC,0.0019945631652467,0.9071491650121828,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
pDC,0.0188833859590283,0.2694488802048294,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Macrophage,0.0408897542782016,0.0167527451980643,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Mast,-0.0123717263578894,0.4693832961325076,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Neutrophil,-0.0291944545642058,0.0877192762621405,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Unidentifiable,-0.2090294295297352,4.29695433589079e-35,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Malignant,,,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
CAF,-0.0161882578290062,0.3728102845625739,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Endothelial,-0.0067586646674946,0.7098417830954047,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Plasma,-0.0503598481658893,0.0055359984970984,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
B cell,-0.0132801717023147,0.4647147803818543,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
T CD4,-0.0620946160547426,0.0006225171057709,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
T CD8,-0.0126185222628772,0.4872577301935077,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
NK,0.0084259802380383,0.6427493011537944,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
cDC,-0.1110149402837668,8.769870257110698e-10,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
pDC,0.0004832027488971,0.97877853231408,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Macrophage,-0.0999354873651333,3.4826982739312564e-08,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Mast,0.0735261819313642,5.0543091789951535e-05,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Neutrophil,-0.0002383043492451,0.9895331324963096,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Unidentifiable,-0.0680654539637408,0.0001758831142967,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Malignant,,,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
CAF,-0.1349677930037239,1.219402797021792e-07,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Endothelial,0.2685227975600597,1.3442816499511355e-26,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Plasma,0.0678943722505244,0.0079958098006247,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
B cell,0.144438013226507,1.4651737156071756e-08,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
T CD4,0.0615961923473309,0.0161406147315746,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
T CD8,0.0094274257806147,0.7129783421683693,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
NK,0.0416924286044689,0.1036279783064723,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
cDC,-0.0111783332949142,0.6627035603853862,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
pDC,0.1488132686736702,5.247751100239328e-09,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Macrophage,0.0397036222959032,0.1211857474200257,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Mast,0.1563850764147306,8.260587258022108e-10,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Neutrophil,-0.0288833993357369,0.2596397172096234,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Unidentifiable,0.1800069689605644,1.4244439985758985e-12,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Malignant,,,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
CAF,0.0759309959691312,0.0106355647092197,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Endothelial,0.0588859524532466,0.0477166574304358,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Plasma,-0.210696149615838,8.159169729593363e-13,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
B cell,0.0722467068260974,0.0150916977352755,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
