metric,pathway,pathway_label,thresholds_averaged,n_sections,n_unique_crs_values,spearman_rho,spearman_p,spearman_p_holm_all_100
high_group_mean_across_thresholds,HALLMARK_MITOTIC_SPINDLE_score,Mitotic spindle,0.50;0.60;0.70;0.80;0.90,8,3,0.8189230248533257,0.012900446687891578,1.0
high_group_mean_across_thresholds,HALLMARK_MTORC1_SIGNALING_score,mTORC1 signaling,0.50;0.60;0.70;0.80;0.90,8,3,-0.0629940788348712,0.8821982008249135,1.0
high_group_mean_across_thresholds,HALLMARK_MYC_TARGETS_V1_score,MYC targets V1,0.50;0.60;0.70;0.80;0.90,8,3,-0.5669467095138409,0.14280043904340656,1.0
high_group_mean_across_thresholds,HALLMARK_MYC_TARGETS_V2_score,MYC targets V2,0.50;0.60;0.70;0.80;0.90,8,3,-0.18898223650461363,0.6540046202515182,1.0
high_group_mean_across_thresholds,HALLMARK_MYOGENESIS_score,Myogenesis,0.50;0.60;0.70;0.80;0.90,8,3,0.18898223650461363,0.6540046202515182,1.0
high_group_mean_across_thresholds,HALLMARK_NOTCH_SIGNALING_score,Notch signaling,0.50;0.60;0.70;0.80;0.90,8,3,-0.37796447300922725,0.355917683749582,1.0
high_group_mean_across_thresholds,HALLMARK_OXIDATIVE_PHOSPHORYLATION_score,Oxidative phosphorylation,0.50;0.60;0.70;0.80;0.90,8,3,-0.1259881576697424,0.7662600657593479,1.0
high_group_mean_across_thresholds,HALLMARK_P53_PATHWAY_score,P53 pathway,0.50;0.60;0.70;0.80;0.90,8,3,0.44095855184409843,0.274128124583022,1.0
high_group_mean_across_thresholds,HALLMARK_PANCREAS_BETA_CELLS_score,Pancreas beta cells,0.50;0.60;0.70;0.80;0.90,8,3,0.37796447300922725,0.355917683749582,1.0
high_group_mean_across_thresholds,HALLMARK_PEROXISOME_score,Peroxisome,0.50;0.60;0.70;0.80;0.90,8,3,0.0629940788348712,0.8821982008249135,1.0
high_group_mean_across_thresholds,HALLMARK_PI3K_AKT_MTOR_SIGNALING_score,PI3K/AKT/mTOR signaling,0.50;0.60;0.70;0.80;0.90,8,3,0.18898223650461363,0.6540046202515182,1.0
high_group_mean_across_thresholds,HALLMARK_PROTEIN_SECRETION_score,Protein secretion,0.50;0.60;0.70;0.80;0.90,8,3,-0.0629940788348712,0.8821982008249135,1.0
high_group_mean_across_thresholds,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_score,Reactive oxygen species,0.50;0.60;0.70;0.80;0.90,8,3,0.5039526306789696,0.20288444914997822,1.0
high_group_mean_across_thresholds,HALLMARK_SPERMATOGENESIS_score,Spermatogenesis,0.50;0.60;0.70;0.80;0.90,8,3,0.0629940788348712,0.8821982008249135,1.0
high_group_mean_across_thresholds,HALLMARK_TGF_BETA_SIGNALING_score,TGF-beta signaling,0.50;0.60;0.70;0.80;0.90,8,3,-0.0629940788348712,0.8821982008249135,1.0
high_group_mean_across_thresholds,HALLMARK_TNFA_SIGNALING_VIA_NFKB_score,TNF-alpha via NF-kB,0.50;0.60;0.70;0.80;0.90,8,3,0.5039526306789696,0.20288444914997822,1.0
high_group_mean_across_thresholds,HALLMARK_UNFOLDED_PROTEIN_RESPONSE_score,Unfolded protein response,0.50;0.60;0.70;0.80;0.90,8,3,-0.37796447300922725,0.355917683749582,1.0
