scheme,held_out_dataset,held_out_sample,model,n_train_spots,n_test_spots,n_train_samples,n_test_samples,n_features,r2,selected_alpha,selected_l1_ratio,n_nonzero_coefficients
LOSO,yamamoto_2025,Pt2-4,combined,55167,3270,22,1,55,0.028163275135562604,0.05736152510448681,0.7,6
LOSO,denisenko_2022,SP1,composition_only,55888,2549,22,1,5,0.03728708492814514,0.02212216291070448,0.1,4
LOSO,denisenko_2022,SP1,hallmarks_only,55888,2549,22,1,50,0.0,1.0,0.1,0
LOSO,denisenko_2022,SP1,combined,55888,2549,22,1,55,0.03393217631510548,0.05736152510448681,0.9,4
LOSO,denisenko_2022,SP2,composition_only,56511,1926,22,1,5,0.029680293304346184,0.011721022975334805,0.1,5
LOSO,denisenko_2022,SP2,hallmarks_only,56511,1926,22,1,50,0.0014823288824127312,0.20433597178569418,0.3,1
LOSO,denisenko_2022,SP2,combined,56511,1926,22,1,55,0.026248694388206095,0.05736152510448681,0.7,5
LOSO,denisenko_2022,SP3,composition_only,56945,1492,22,1,5,0.06940549753770942,0.03039195382313198,0.1,5
LOSO,denisenko_2022,SP3,hallmarks_only,56945,1492,22,1,50,0.0,0.07880462815669913,0.9,0
LOSO,denisenko_2022,SP3,combined,56945,1492,22,1,55,0.07015495513165804,0.05736152510448681,0.7,7
LOSO,denisenko_2022,SP4,composition_only,55593,2844,22,1,5,0.09321994457512695,0.041753189365604,0.1,4
LOSO,denisenko_2022,SP4,hallmarks_only,55593,2844,22,1,50,0.0,1.0,0.3,0
LOSO,denisenko_2022,SP4,combined,55593,2844,22,1,55,0.06408247034286829,0.05736152510448681,0.9,4
LOSO,denisenko_2022,SP5,composition_only,56449,1988,22,1,5,0.01726555442899147,0.011721022975334805,0.1,5
LOSO,denisenko_2022,SP5,hallmarks_only,56449,1988,22,1,50,0.0,1.0,0.1,0
LOSO,denisenko_2022,SP5,combined,56449,1988,22,1,55,0.020263842251926567,0.05736152510448681,0.9,5
LOSO,denisenko_2022,SP6,composition_only,56679,1758,22,1,5,0.11372444454725994,0.041753189365604,0.1,4
LOSO,denisenko_2022,SP6,hallmarks_only,56679,1758,22,1,50,0.0,0.07880462815669913,0.9,0
LOSO,denisenko_2022,SP6,combined,56679,1758,22,1,55,0.08846287439213596,0.05736152510448681,0.7,7
LOSO,denisenko_2022,SP7,composition_only,55015,3422,22,1,5,0.03898036545258554,0.02212216291070448,0.3,4
LOSO,denisenko_2022,SP7,hallmarks_only,55015,3422,22,1,50,0.0,1.0,0.3,0
LOSO,denisenko_2022,SP7,combined,55015,3422,22,1,55,0.0332879088621022,0.05736152510448681,0.7,7
LOSO,denisenko_2022,SP8,composition_only,55404,3033,22,1,5,0.0964047607486822,0.02212216291070448,0.1,5
LOSO,denisenko_2022,SP8,hallmarks_only,55404,3033,22,1,50,0.0,1.0,0.1,0
LOSO,denisenko_2022,SP8,combined,55404,3033,22,1,55,0.07738910719473524,0.05736152510448681,0.7,6
LODO,denisenko_2022,SP1,composition_only,39425,2549,15,8,5,0.03804196885807587,0.008531678524172805,0.1,5
LODO,denisenko_2022,SP2,composition_only,39425,1926,15,8,5,0.02602416492802162,0.008531678524172805,0.1,5
LODO,denisenko_2022,SP3,composition_only,39425,1492,15,8,5,0.0691124936927977,0.008531678524172805,0.1,5
LODO,denisenko_2022,SP4,composition_only,39425,2844,15,8,5,0.08885627513392536,0.008531678524172805,0.1,5
LODO,denisenko_2022,SP5,composition_only,39425,1988,15,8,5,0.015590366803593048,0.008531678524172805,0.1,5
LODO,denisenko_2022,SP6,composition_only,39425,1758,15,8,5,0.10903333016753225,0.008531678524172805,0.1,5
LODO,denisenko_2022,SP7,composition_only,39425,3422,15,8,5,0.04191504062537499,0.008531678524172805,0.1,5
LODO,denisenko_2022,SP8,composition_only,39425,3033,15,8,5,0.08981527149721102,0.008531678524172805,0.1,5
LODO,denisenko_2022,SP1,hallmarks_only,39425,2549,15,8,50,0.0,1.0,0.1,0
LODO,denisenko_2022,SP2,hallmarks_only,39425,1926,15,8,50,0.0,1.0,0.1,0
LODO,denisenko_2022,SP3,hallmarks_only,39425,1492,15,8,50,0.0,1.0,0.1,0
LODO,denisenko_2022,SP4,hallmarks_only,39425,2844,15,8,50,0.0,1.0,0.1,0
LODO,denisenko_2022,SP5,hallmarks_only,39425,1988,15,8,50,0.0,1.0,0.1,0
LODO,denisenko_2022,SP6,hallmarks_only,39425,1758,15,8,50,0.0,1.0,0.1,0
LODO,denisenko_2022,SP7,hallmarks_only,39425,3422,15,8,50,0.0,1.0,0.1,0
LODO,denisenko_2022,SP8,hallmarks_only,39425,3033,15,8,50,0.0,1.0,0.1,0
LODO,denisenko_2022,SP1,combined,39425,2549,15,8,55,0.01636043796926545,0.05736152510448681,0.9,6
LODO,denisenko_2022,SP2,combined,39425,1926,15,8,55,0.003635692364328591,0.05736152510448681,0.9,6
LODO,denisenko_2022,SP3,combined,39425,1492,15,8,55,0.0610266289155732,0.05736152510448681,0.9,6
LODO,denisenko_2022,SP4,combined,39425,2844,15,8,55,0.04422614382837664,0.05736152510448681,0.9,6
LODO,denisenko_2022,SP5,combined,39425,1988,15,8,55,0.020434873185801727,0.05736152510448681,0.9,6
LODO,denisenko_2022,SP6,combined,39425,1758,15,8,55,0.04272921933374452,0.05736152510448681,0.9,6
LODO,denisenko_2022,SP7,combined,39425,3422,15,8,55,0.032986035674439695,0.05736152510448681,0.9,6
LODO,denisenko_2022,SP8,combined,39425,3033,15,8,55,0.05971254234640577,0.05736152510448681,0.9,6
LODO,ju_2024,CPS_OV19_LtOV1,composition_only,34297,4202,16,7,5,-0.038940416396890276,0.03039195382313198,0.1,5
LODO,ju_2024,CPS_OV1RtOV3,composition_only,34297,3164,16,7,5,-0.025269099136842943,0.03039195382313198,0.1,5
LODO,ju_2024,CPS_OV20RtOV4,composition_only,34297,3035,16,7,5,-0.023527092524513016,0.03039195382313198,0.1,5
LODO,ju_2024,CPS_OV24RTOV4,composition_only,34297,4479,16,7,5,0.07513196962056101,0.03039195382313198,0.1,5
LODO,ju_2024,CPS_OV34RtOV1,composition_only,34297,3515,16,7,5,0.038585931399186646,0.03039195382313198,0.1,5
LODO,ju_2024,CPS_OV5LtOV4,composition_only,34297,3585,16,7,5,0.05652334665702974,0.03039195382313198,0.1,5
LODO,ju_2024,CPS_OV71_1,composition_only,34297,2160,16,7,5,0.04364657981930886,0.03039195382313198,0.1,5
LODO,ju_2024,CPS_OV19_LtOV1,hallmarks_only,34297,4202,16,7,50,-0.0007247793464648655,0.07880462815669913,0.9,2
LODO,ju_2024,CPS_OV1RtOV3,hallmarks_only,34297,3164,16,7,50,-0.0028322130384241806,0.07880462815669913,0.9,2
LODO,ju_2024,CPS_OV20RtOV4,hallmarks_only,34297,3035,16,7,50,-0.0033414381814105276,0.07880462815669913,0.9,2
LODO,ju_2024,CPS_OV24RTOV4,hallmarks_only,34297,4479,16,7,50,-0.008980480421190373,0.07880462815669913,0.9,2
LODO,ju_2024,CPS_OV34RtOV1,hallmarks_only,34297,3515,16,7,50,0.0036153537081111686,0.07880462815669913,0.9,2
LODO,ju_2024,CPS_OV5LtOV4,hallmarks_only,34297,3585,16,7,50,-0.005130835894913144,0.07880462815669913,0.9,2
LODO,ju_2024,CPS_OV71_1,hallmarks_only,34297,2160,16,7,50,-0.00982987543909708,0.07880462815669913,0.9,2
LODO,ju_2024,CPS_OV19_LtOV1,combined,34297,4202,16,7,55,-0.018684088229510953,0.07880462815669913,0.7,7
LODO,ju_2024,CPS_OV1RtOV3,combined,34297,3164,16,7,55,-0.00692620647579556,0.07880462815669913,0.7,7
LODO,ju_2024,CPS_OV20RtOV4,combined,34297,3035,16,7,55,-0.0012397878723047207,0.07880462815669913,0.7,7
LODO,ju_2024,CPS_OV24RTOV4,combined,34297,4479,16,7,55,0.05868146725456458,0.07880462815669913,0.7,7
LODO,ju_2024,CPS_OV34RtOV1,combined,34297,3515,16,7,55,0.036453384899792995,0.07880462815669913,0.7,7
LODO,ju_2024,CPS_OV5LtOV4,combined,34297,3585,16,7,55,0.046959498081344364,0.07880462815669913,0.7,7
LODO,ju_2024,CPS_OV71_1,combined,34297,2160,16,7,55,0.033542673613320195,0.07880462815669913,0.7,7
LODO,yamamoto_2025,Pt1-1,composition_only,43152,1525,15,8,5,0.08476666640812824,0.02212216291070448,0.5,4
LODO,yamamoto_2025,Pt1-2,composition_only,43152,1131,15,8,5,0.10723499037519202,0.02212216291070448,0.5,4
LODO,yamamoto_2025,Pt1-3,composition_only,43152,2002,15,8,5,0.03864887068959544,0.02212216291070448,0.5,4
LODO,yamamoto_2025,Pt1-4,composition_only,43152,1387,15,8,5,0.06504415948325892,0.02212216291070448,0.5,4
LODO,yamamoto_2025,Pt2-1,composition_only,43152,1833,15,8,5,0.04819360618986146,0.02212216291070448,0.5,4
LODO,yamamoto_2025,Pt2-2,composition_only,43152,2026,15,8,5,-0.006199657801254199,0.02212216291070448,0.5,4
LODO,yamamoto_2025,Pt2-3,composition_only,43152,2111,15,8,5,0.040083999651335245,0.02212216291070448,0.5,4
LODO,yamamoto_2025,Pt2-4,composition_only,43152,3270,15,8,5,0.03938765217453244,0.02212216291070448,0.5,4
LODO,yamamoto_2025,Pt1-1,hallmarks_only,43152,1525,15,8,50,0.008583229163028339,0.1082636733874054,0.7,1
LODO,yamamoto_2025,Pt1-2,hallmarks_only,43152,1131,15,8,50,0.006900120104304408,0.1082636733874054,0.7,1
LODO,yamamoto_2025,Pt1-3,hallmarks_only,43152,2002,15,8,50,-0.0018216554543750707,0.1082636733874054,0.7,1
LODO,yamamoto_2025,Pt1-4,hallmarks_only,43152,1387,15,8,50,0.008809105197583378,0.1082636733874054,0.7,1
LODO,yamamoto_2025,Pt2-1,hallmarks_only,43152,1833,15,8,50,-0.007230834804344166,0.1082636733874054,0.7,1
LODO,yamamoto_2025,Pt2-2,hallmarks_only,43152,2026,15,8,50,0.002124361092879723,0.1082636733874054,0.7,1
LODO,yamamoto_2025,Pt2-3,hallmarks_only,43152,2111,15,8,50,-0.002400366278608068,0.1082636733874054,0.7,1
LODO,yamamoto_2025,Pt2-4,hallmarks_only,43152,3270,15,8,50,-0.004542583083770202,0.1082636733874054,0.7,1
LODO,yamamoto_2025,Pt1-1,combined,43152,1525,15,8,55,0.08101880819243945,0.05736152510448681,0.9,6
LODO,yamamoto_2025,Pt1-2,combined,43152,1131,15,8,55,0.09457574265077695,0.05736152510448681,0.9,6
LODO,yamamoto_2025,Pt1-3,combined,43152,2002,15,8,55,0.02297843159981905,0.05736152510448681,0.9,6
LODO,yamamoto_2025,Pt1-4,combined,43152,1387,15,8,55,0.06495953916041652,0.05736152510448681,0.9,6
LODO,yamamoto_2025,Pt2-1,combined,43152,1833,15,8,55,0.011547268500402774,0.05736152510448681,0.9,6
LODO,yamamoto_2025,Pt2-2,combined,43152,2026,15,8,55,0.010908164192229175,0.05736152510448681,0.9,6
LODO,yamamoto_2025,Pt2-3,combined,43152,2111,15,8,55,0.03002606894079274,0.05736152510448681,0.9,6
LODO,yamamoto_2025,Pt2-4,combined,43152,3270,15,8,55,0.02145074857908802,0.05736152510448681,0.9,6
