dataset,sample,variable,crs_numeric,high_group_mean_across_thresholds,high_minus_low_mean_across_thresholds,n_thresholds
denisenko_2022,SP1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE_score,1.0,0.05362677717915261,0.021057310703402367,5
denisenko_2022,SP1,HALLMARK_UV_RESPONSE_DN_score,1.0,0.05153776995912566,-0.1649395829800718,5
denisenko_2022,SP1,HALLMARK_UV_RESPONSE_UP_score,1.0,-0.5741108296038595,-0.4286672332887956,5
denisenko_2022,SP1,HALLMARK_WNT_BETA_CATENIN_SIGNALING_score,1.0,-0.6377478998229161,-0.4879207003789837,5
denisenko_2022,SP1,HALLMARK_XENOBIOTIC_METABOLISM_score,1.0,-0.4034207045865689,-0.3826341039160167,5
denisenko_2022,SP2,HALLMARK_ADIPOGENESIS_score,3.0,0.357162409541157,0.41306480804108914,5
denisenko_2022,SP2,HALLMARK_ALLOGRAFT_REJECTION_score,3.0,0.02828306642580542,0.3512735644142791,5
denisenko_2022,SP2,HALLMARK_ANDROGEN_RESPONSE_score,3.0,-0.0050720869206064,0.11906917071063364,5
denisenko_2022,SP2,HALLMARK_ANGIOGENESIS_score,3.0,1.0626750580981486,1.0441243436792536,5
denisenko_2022,SP2,HALLMARK_APICAL_JUNCTION_score,3.0,-0.18804733943095173,-0.38080234195415297,5
denisenko_2022,SP2,HALLMARK_APICAL_SURFACE_score,3.0,-0.6148282855842802,-0.755995271628308,5
denisenko_2022,SP2,HALLMARK_APOPTOSIS_score,3.0,-0.16866645611459,-0.4262130783385622,5
denisenko_2022,SP2,HALLMARK_BILE_ACID_METABOLISM_score,3.0,0.11054788333320831,0.11745100249342175,5
denisenko_2022,SP2,HALLMARK_CHOLESTEROL_HOMEOSTASIS_score,3.0,0.19128399764723533,0.22116226816125292,5
denisenko_2022,SP2,HALLMARK_COAGULATION_score,3.0,0.5681408401445899,0.6854335374412239,5
denisenko_2022,SP2,HALLMARK_COMPLEMENT_score,3.0,0.0428018387826234,0.13047261823151007,5
denisenko_2022,SP2,HALLMARK_DNA_REPAIR_score,3.0,-0.2188257731752262,-0.32935954738361184,5
denisenko_2022,SP2,HALLMARK_E2F_TARGETS_score,3.0,-0.6043902056028431,-0.5868318917490727,5
denisenko_2022,SP2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_score,3.0,-0.07013281177209627,-0.053044288740711175,5
denisenko_2022,SP2,HALLMARK_ESTROGEN_RESPONSE_EARLY_score,3.0,0.20267508687695995,0.12826417818119412,5
denisenko_2022,SP2,HALLMARK_ESTROGEN_RESPONSE_LATE_score,3.0,0.5746930833302571,0.7106054201220809,5
denisenko_2022,SP2,HALLMARK_FATTY_ACID_METABOLISM_score,3.0,0.9015800781920248,1.0806764053280227,5
denisenko_2022,SP2,HALLMARK_G2M_CHECKPOINT_score,3.0,0.24153884902275496,0.2042213968109535,5
denisenko_2022,SP2,HALLMARK_GLYCOLYSIS_score,3.0,-0.8933058215335183,-1.1206178616873046,5
denisenko_2022,SP2,HALLMARK_HEDGEHOG_SIGNALING_score,3.0,0.7007718044705857,0.8207121998173597,5
denisenko_2022,SP2,HALLMARK_HEME_METABOLISM_score,3.0,-0.2967920259839484,-0.15867817089657982,5
denisenko_2022,SP2,HALLMARK_HYPOXIA_score,3.0,-0.31188110414648823,-0.5982680217416495,5
