sample,model,outer_fold,n_train,n_test,selected_alpha,selected_l1_ratio,n_nonzero_coefficients,n_features,dataset
CPS_OV5LtOV4,composition_only,5,2868,717,0.01738089329266776,0.1,5,5,ju_2024
CPS_OV5LtOV4,hallmarks_only,1,2868,717,0.030937210929287452,0.1,48,50,ju_2024
CPS_OV5LtOV4,hallmarks_only,2,2868,717,0.036977394159825074,0.1,47,50,ju_2024
CPS_OV5LtOV4,hallmarks_only,3,2868,717,0.03005245807600525,0.1,50,50,ju_2024
CPS_OV5LtOV4,hallmarks_only,4,2868,717,0.03341442973661074,0.1,49,50,ju_2024
CPS_OV5LtOV4,hallmarks_only,5,2868,717,0.05875035563614051,0.1,42,50,ju_2024
CPS_OV5LtOV4,combined,1,2868,717,0.04304049981595102,0.1,49,55,ju_2024
CPS_OV5LtOV4,combined,2,2868,717,0.038043458474496826,0.1,55,55,ju_2024
CPS_OV5LtOV4,combined,3,2868,717,0.024411302094285315,0.1,53,55,ju_2024
CPS_OV5LtOV4,combined,4,2868,717,0.04016529596316461,0.1,50,55,ju_2024
CPS_OV5LtOV4,combined,5,2868,717,0.06102764886249025,0.1,49,55,ju_2024
CPS_OV71_1,composition_only,1,1728,432,0.012069973571782727,0.9,4,5,ju_2024
CPS_OV71_1,composition_only,2,1728,432,0.018447387596655637,0.9,2,5,ju_2024
CPS_OV71_1,composition_only,3,1728,432,0.02103950401061468,0.9,3,5,ju_2024
CPS_OV71_1,composition_only,4,1728,432,0.022335754218642753,0.9,2,5,ju_2024
CPS_OV71_1,composition_only,5,1728,432,0.025680598991482725,0.9,2,5,ju_2024
CPS_OV71_1,hallmarks_only,1,1728,432,0.06161536787214538,0.1,46,50,ju_2024
CPS_OV71_1,hallmarks_only,2,1728,432,0.08716975544716692,0.1,39,50,ju_2024
CPS_OV71_1,hallmarks_only,3,1728,432,0.05240637101602474,0.1,46,50,ju_2024
CPS_OV71_1,hallmarks_only,4,1728,432,0.06141560453174361,0.1,45,50,ju_2024
CPS_OV71_1,hallmarks_only,5,1728,432,0.046359844709259745,0.1,48,50,ju_2024
CPS_OV71_1,combined,1,1728,432,0.08217443134446467,0.1,49,55,ju_2024
CPS_OV71_1,combined,2,1728,432,0.109234342871781,0.1,40,55,ju_2024
CPS_OV71_1,combined,3,1728,432,0.07129114380604522,0.1,49,55,ju_2024
CPS_OV71_1,combined,4,1728,432,0.06141560453174361,0.1,50,55,ju_2024
CPS_OV71_1,combined,5,1728,432,0.06138893271602723,0.1,50,55,ju_2024
