dataset,sample,sample_label,balance,balance_label,malignant_threshold,low_mean,high_mean,high_minus_low
ju_2024,CPS_OV5LtOV4,ju_2024__CPS_OV5LtOV4,b1,b1 Malignant vs TME,0.2,6.980225992459824,7.656181776578911,0.6759557841190871
ju_2024,CPS_OV71_1,ju_2024__CPS_OV71_1,b1,b1 Malignant vs TME,0.2,5.895969327191073,7.008392602458243,1.1124232752671697
yamamoto_2025,Pt1-1,yamamoto_2025__Pt1-1,b1,b1 Malignant vs TME,0.2,6.897033164331784,7.035987584947982,0.1389544206161979
yamamoto_2025,Pt1-2,yamamoto_2025__Pt1-2,b1,b1 Malignant vs TME,0.2,7.297932894308287,8.067492567222718,0.769559672914431
yamamoto_2025,Pt1-3,yamamoto_2025__Pt1-3,b1,b1 Malignant vs TME,0.2,6.978718947351322,6.939494451527439,-0.03922449582388232
yamamoto_2025,Pt1-4,yamamoto_2025__Pt1-4,b1,b1 Malignant vs TME,0.2,8.23665243400638,8.702546901254875,0.4658944672484946
yamamoto_2025,Pt2-1,yamamoto_2025__Pt2-1,b1,b1 Malignant vs TME,0.2,8.009076517486223,7.679853099422512,-0.32922341806371147
yamamoto_2025,Pt2-2,yamamoto_2025__Pt2-2,b1,b1 Malignant vs TME,0.2,7.178325466788467,7.570913420678025,0.39258795388955825
yamamoto_2025,Pt2-3,yamamoto_2025__Pt2-3,b1,b1 Malignant vs TME,0.2,6.588659648838782,6.835676928970194,0.24701728013141278
yamamoto_2025,Pt2-4,yamamoto_2025__Pt2-4,b1,b1 Malignant vs TME,0.2,7.43410297248377,7.406636170175447,-0.027466802308323324
denisenko_2022,SP1,denisenko_2022__SP1,b1,b1 Malignant vs TME,0.3,7.37535989325782,7.597810946775167,0.2224510535173465
denisenko_2022,SP2,denisenko_2022__SP2,b1,b1 Malignant vs TME,0.3,7.928824148458167,8.06819956786189,0.13937541940372355
denisenko_2022,SP3,denisenko_2022__SP3,b1,b1 Malignant vs TME,0.3,7.549944961740082,7.700844494618717,0.15089953287863445
