balance,balance_label,malignant_threshold,n_samples,high_median,high_q25,high_q75,low_median,low_q25,low_q75,median_high_minus_low,diff_q25,diff_q75,direction_consistency_high_gt_low,high_fraction_above_zero,low_fraction_above_zero,paired_wilcoxon_p,paired_wilcoxon_p_holm,paired_wilcoxon_sig_holm
b1,b1 Malignant vs TME,0.1,23,7.5736830594494675,7.221021480365966,7.731754162381147,7.004954375889709,6.7666535031862995,7.409656100471315,0.5177246835310552,0.36508186034269485,0.7593118934416512,0.9130434782608695,1.0,1.0,4.5299530029296875e-06,0.00020384788513183594,***
b1,b1 Malignant vs TME,0.2,23,7.676536203219249,7.34398156545865,7.869205148655965,7.297932894308287,7.057582718910927,7.640666472657308,0.29030013225187723,0.055743809153937285,0.43564796704272,0.7391304347826086,1.0,1.0,0.0011184215545654297,0.03914475440979004,*
b1,b1 Malignant vs TME,0.3,23,7.80413448284906,7.525626924202564,7.940352615312061,7.612118035684696,7.41414526549541,7.880968243791223,0.15089953287863445,-0.2519763012373697,0.27559702082927595,0.6521739130434783,1.0,1.0,0.4274179935455322,1.0,
b1,b1 Malignant vs TME,0.4,23,7.926687858300955,7.678030545462812,8.067229773878825,7.827238956569354,7.702784316373422,8.178700617277046,-0.01978676027033366,-0.38959456506700985,0.1903716588666926,0.4782608695652174,1.0,1.0,0.6868791580200195,1.0,
b1,b1 Malignant vs TME,0.5,23,8.078156978161996,7.838908874984894,8.302049656932162,8.232865838459663,7.906505389209333,8.422373252005745,-0.12772818679765763,-0.39093449577046036,0.10850795650784084,0.43478260869565216,1.0,1.0,0.17933368682861328,1.0,
b1,b1 Malignant vs TME,0.6,23,8.283097171513168,7.9401879041996555,8.51858811524157,8.541875681640212,8.154353774527214,8.812630705098371,-0.1708291981384331,-0.5256127812376548,-0.0054555480903424325,0.2608695652173913,1.0,1.0,0.01955723762512207,0.56715989112854,
b1,b1 Malignant vs TME,0.7,23,8.429084989284577,7.951375570971945,8.696200984348161,8.871452911928733,8.406119733002143,9.068915720058877,-0.2643866770880585,-0.7702942489170619,-0.05961785579937384,0.21739130434782608,1.0,1.0,0.004851341247558594,0.1503915786743164,
b1,b1 Malignant vs TME,0.8,23,8.473226153938672,7.791546368988783,8.820344209886585,9.021716532878344,8.455615192229418,9.343715303342835,-0.2264382877981248,-1.0320157374628125,0.08330121349865616,0.30434782608695654,1.0,1.0,0.01955723762512207,0.56715989112854,
b1,b1 Malignant vs TME,0.9,23,7.927533361447351,6.976706903173151,8.512803540365141,8.457753533675495,7.931248540138057,8.970815950170879,-0.3120429406686007,-1.1431456024490974,0.49081884109090224,0.391304347826087,1.0,1.0,0.15107226371765137,1.0,
b1,b1 Malignant vs TME,1.0,23,4.857883835970847,4.857883835970846,4.857883835970847,4.857883835970847,4.857883835970846,4.857883835970847,0.0,0.0,0.0,0.0,1.0,1.0,,,
b2,b2 Stromal vs immune,0.1,23,4.549229223795448,3.3432624526234433,6.061721747594096,6.165861000537817,5.105058618637919,7.037329538526954,-1.085701296157605,-1.8696760092449836,-0.3442020303435043,0.13043478260869565,1.0,1.0,5.9604644775390625e-06,0.00026226043701171875,***
b2,b2 Stromal vs immune,0.2,23,4.421444781505534,3.0078140380627927,5.88162469507772,5.839368104427217,4.673345068027358,6.554441231133566,-0.8016550705402266,-1.864772156157916,-0.1938176357292387,0.17391304347826086,1.0,1.0,0.000152587890625,0.00579833984375,**
b2,b2 Stromal vs immune,0.3,23,3.951981514124288,2.650279826077262,5.601328356170088,5.458481848702861,4.145031341478214,5.9721324645991505,-0.70188954306761,-1.7155722113740728,0.013604100692885979,0.2608695652173913,1.0,1.0,0.0034525394439697266,0.11393380165100098,
b2,b2 Stromal vs immune,0.4,23,3.2127152227702918,2.353553498103195,5.126158310391004,4.673006430408623,3.485232640313712,5.826376905564857,-0.6846456579029843,-1.369227153237666,0.10599067188027744,0.30434782608695654,1.0,1.0,0.027674198150634766,0.7472033500671387,
b2,b2 Stromal vs immune,0.5,23,2.7909958614938675,1.8059076336970774,4.352214799844823,3.987694187447444,2.8030690486942653,4.977625967539762,-0.325663937926971,-1.0351469216163869,-0.014343410246091093,0.2608695652173913,1.0,1.0,0.0354313850402832,0.9212160110473633,
b2,b2 Stromal vs immune,0.6,23,2.094516313017349,0.9616141211622988,3.7533388039035085,3.130040660054464,2.021665573180317,3.664905309281858,-0.2491143031384606,-0.8142996834226761,0.3522278005957063,0.43478260869565216,0.9565217391304348,1.0,0.3765220642089844,1.0,
b2,b2 Stromal vs immune,0.7,23,1.736648621624196,0.4541656688262311,2.9031203011555444,1.7621811883170702,1.0923961778255946,2.71582406608716,0.22109807682846094,-0.756601795755995,0.8825160393880656,0.5217391304347826,0.8695652173913043,1.0,0.9643125534057617,1.0,
b2,b2 Stromal vs immune,0.8,23,1.366447843830379,0.06412427937085668,1.915078199500556,0.7212537296785253,0.15402821218290305,1.4606259032217401,0.11013307626717783,-0.9224740958370862,1.0650104650330496,0.5652173913043478,0.7391304347826086,0.782608695652174,0.6868791580200195,1.0,
b2,b2 Stromal vs immune,0.9,23,0.324946832213806,-0.40484692826398416,0.8701239562023241,-0.1082050176100186,-0.6163256665906787,0.4372574508193767,0.28948829802959475,-0.42152503236016736,0.8522692197152073,0.5652173913043478,0.6086956521739131,0.34782608695652173,0.3765220642089844,1.0,
b2,b2 Stromal vs immune,1.0,23,-3.3531151756495756e-16,-3.353115175649576e-16,-3.353115175649575e-16,-3.3531151756495756e-16,-3.353115175649576e-16,-3.353115175649575e-16,0.0,0.0,0.0,0.0,0.0,0.0,,,
b3,b3 CAF vs endothelial,0.1,23,-0.2973464586864949,-1.0016592502178234,0.11380102615053796,-0.0366714999772405,-0.8241746603844997,1.7561148382324983,-0.4476608551960808,-1.507957239461071,-0.1485692455730303,0.21739130434782608,0.30434782608695654,0.43478260869565216,0.003070831298828125,0.10440826416015625,
b3,b3 CAF vs endothelial,0.2,23,-0.3409690821141473,-1.1333561372194914,0.059516921938636946,-0.1517094517099015,-0.9101454602923565,1.315715950804056,-0.4646923820244373,-1.5949083237679145,0.013221609657353528,0.2608695652173913,0.2608695652173913,0.391304347826087,0.00914621353149414,0.2743864059448242,
b3,b3 CAF vs endothelial,0.3,23,-0.5690955859576229,-1.3575483141419435,-0.0009483993865701534,-0.4599608285357433,-1.0361749023782205,0.8755272895908288,-0.29834198353299257,-1.4820061042798387,0.19917787899350098,0.391304347826087,0.2608695652173913,0.34782608695652173,0.04152512550354004,1.0,
b3,b3 CAF vs endothelial,0.4,23,-0.8283561644968932,-1.4890539146502668,-0.1787812743799393,-0.7802211363866088,-1.1747930951945242,0.48939899669286147,0.037800459648716256,-1.509692633496899,0.27735325412303297,0.5217391304347826,0.17391304347826086,0.30434782608695654,0.21117830276489258,1.0,
b3,b3 CAF vs endothelial,0.5,23,-0.9589630556634436,-1.681835093107114,-0.3759989138764066,-1.054147612850678,-1.5436145462757191,0.32589387822565874,0.07172264081991431,-1.1083730890476824,0.35141368176429866,0.5217391304347826,0.08695652173913043,0.2608695652173913,0.36039113998413086,1.0,
b3,b3 CAF vs endothelial,0.6,23,-1.2157103075984057,-1.8017856303836468,-0.684570941038931,-1.2949661907877466,-2.055963496264482,-0.21158891964247675,-0.005447546143187543,-0.8334795549393855,0.3478884308587381,0.4782608695652174,0.08695652173913043,0.21739130434782608,0.5202305316925049,1.0,
b3,b3 CAF vs endothelial,0.7,23,-1.3117658089352164,-1.7566571434229052,-0.9031854848591161,-1.5834596170116322,-2.115529337601772,-0.2772114658981792,-0.03824342813573156,-0.890697645457041,0.4338128197906512,0.4782608695652174,0.043478260869565216,0.17391304347826086,0.6220676898956299,1.0,
b3,b3 CAF vs endothelial,0.8,23,-1.28525392440295,-1.739016631101669,-0.7874748549608359,-1.226870725890435,-1.7045576412923207,-0.42603495008404413,-0.17213596642455853,-0.7784835130196562,0.2371571149027153,0.391304347826087,0.043478260869565216,0.17391304347826086,0.18954229354858398,1.0,
b3,b3 CAF vs endothelial,0.9,23,-0.5864417328486985,-1.3406393477977736,-0.3763206143728546,-0.8342835804237551,-1.2297738111839225,-0.3724290346867365,-0.009313063766824115,-0.6782997931365788,0.3678975711105952,0.4782608695652174,0.08695652173913043,0.13043478260869565,0.776785135269165,1.0,
b3,b3 CAF vs endothelial,1.0,23,-4.5484826319976526e-18,-4.5484826319976526e-18,-4.5484826319976526e-18,-4.5484826319976526e-18,-4.5484826319976526e-18,-4.5484826319976526e-18,0.0,0.0,0.0,0.0,0.0,0.0,,,
