release_path,line,match,status
scripts\R\run_rctd_and_cside.r,425,"df <- read.csv(""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/all_samples_2cov_all_results.csv"")",needs_config_parameterization
scripts\python\build_cside_section25_assets.py,18,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\build_cside_report_ready_outputs.py,21,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S2e_CSIDE_CellTypeSpecific_DE_Audit"")",needs_config_parameterization
scripts\python\build_cside_report_ready_outputs.py,34,"SIGNATURE = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\Signature\snai1_acetylation_signature_full.csv"")",needs_config_parameterization
scripts\python\cside_per_gene_direction_sign_test.py,25,"DEFAULT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S2e_CSIDE_CellTypeSpecific_DE_Audit"")",needs_config_parameterization
scripts\python\cside_setlevel_reproducibility_permutation.py,29,"DEFAULT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S2e_CSIDE_CellTypeSpecific_DE_Audit"")",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,32,"DATA_ROOT = Path(""D:/HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,33,"REPO_ROOT = Path(""C:/Users/luchu/Documents/MSc/Master Thesis/Code/HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,837,"input_meta_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_inputs_qc_sensitivity""",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,838,"original_rctd_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs""",needs_config_parameterization
scripts\python\cside_audit_sensitivity.py,839,"output_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs_qc_sensitivity""",needs_config_parameterization
scripts\python\cside_model1_source_integrity_audit.py,32,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\cside_model1_vs_model2_compact_audit.py,23,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\cside_model1_vs_model2_deep_gene_audit.py,30,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\R\run_cside_qc_sensitivity.r,6,"input_meta_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_inputs_qc_sensitivity""",needs_config_parameterization
scripts\R\run_cside_qc_sensitivity.r,7,"original_rctd_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs""",needs_config_parameterization
scripts\R\run_cside_qc_sensitivity.r,8,"output_base <- ""D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs_qc_sensitivity""",needs_config_parameterization
scripts\python\s3_tumor_cnmf_pipeline.py,53,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\s3_tumor_cnmf_pipeline.py,81,"DOC_PATH = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas\00_documentation\cNMF_postK_strategy_and_rationale.md"")",needs_config_parameterization
scripts\python\s3_tumor_cnmf_pipeline.py,88,"CNMF_PYTHON = Path(r""C:\Users\luchu\anaconda3\envs\cnmf_env\python.exe"")",needs_config_parameterization
scripts\python\s3_tumor_cnmf_pipeline.py,89,"CNMF_SCRIPT = Path(r""C:\Users\luchu\anaconda3\envs\cnmf_env\Lib\site-packages\cnmf\cnmf.py"")",needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,27,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,85,"r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas""",needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,2637,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\recurrence_specificity_diagnostics\\MP_signatures_locked_long.csv,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,2638,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\recurrence_specificity_diagnostics\\MP_signatures_locked_by_group.xlsx,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,2639,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\recurrence_specificity_diagnostics\\MP_cluster_summary.csv,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,2828,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\recurrence_specificity_diagnostics\\MP_signature_ORA_long.csv,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,2829,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\recurrence_specificity_diagnostics\\MP_signature_ORA_by_group.xlsx,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,2875,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\recurrence_specificity_diagnostics\\MP_final_labels.csv,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,2876,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\recurrence_specificity_diagnostics\\MP_cluster_summary_labelled.csv,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,3085,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\native_usage_hh_meta\\mp_usage_native_meta_analysis.csv,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,3086,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\native_usage_hh_meta\\mp_usage_native_per_sample.csv,needs_config_parameterization
scripts\python\jaccard_metaprogram_pipeline.py,3087,- D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\S3_cNMF_Tumor_Programs\\jaccard_raw_matrices\\inspection_exports_average\\variantB_nonjunk_manual_cut_v2\\native_usage_hh_meta\\mp_usage_native_member_effects.csv,needs_config_parameterization
scripts\python\score_manual_jaccard_subclusters_enrichmap.py,20,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\snai1ac_program_decomposition_v1.py,39,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\snai1ac_program_decomposition_unsmoothed_uncorrected_v1.py,36,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\compute_cnmf_usage_norm_only_model.py,14,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S3_cNMF_Tumor_Programs""",needs_config_parameterization
scripts\python\compute_cnmf_usage_norm_only_model.py,17,"CNMF_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S3_cNMF_Tumor_Programs"")",needs_config_parameterization
scripts\python\compute_cnmf_usage_norm_only_model.py,19,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\GASTON_method_v1\04_isodepth_score_alignment""",needs_config_parameterization
scripts\python\build_cnmf_model_fit_report_examples.py,10,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S3_cNMF_Tumor_Programs"")",needs_config_parameterization
scripts\python\plot_cnmf_cohort_cv_r2_model_comparison.py,11,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S3_cNMF_Tumor_Programs""",needs_config_parameterization
scripts\python\plot_snai1ac_kstar_univariate_and_model_diagnostics.py,22,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S3_cNMF_Tumor_Programs"")",needs_config_parameterization
scripts\python\build_cnmf_univariate_high_corr_table.py,11,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready"")",needs_config_parameterization
scripts\python\snai1ac_mp_three_arm_correlation.py,25,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\snai1ac_mp_lisa_hotspot_contrasts.py,27,"BASE = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\snai1ac_mp_lisa_hotspot_contrasts.py,60,"""script"": r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas\scripts\spatial_signature_analysis.py"",",needs_config_parameterization
scripts\python\snai1ac_mp_lisa_hotspot_contrasts.py,61,"""notebook"": r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas\notebooks\spatial_sign_analysis.ipynb"",",needs_config_parameterization
scripts\python\snai1ac_mp_existing_scores_tumor_filter_correlation.py,17,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\build_cnmf_snai1ac_signature_projection_v1.py,32,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\plot_cnmf_snai1ac_projection_distributions_v1.py,25,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\rerun_final_mp1_8_stale_analyses.py,27,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\rerun_final_mp1_8_stale_analyses.py,28,"PROJECT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis"")",needs_config_parameterization
scripts\python\audit_final_mp1_8_ora_with_go.py,14,"PROJECT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis"")",needs_config_parameterization
scripts\python\audit_final_mp1_8_ora_with_go.py,15,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\def34_raw_genenmf_pipeline.py,49,"REPO_ROOT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\def34_raw_genenmf_pipeline.py,50,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\define_snaI1_tme_program_families.py,21,"RUN_DIR = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\20260424_definition3b_definition4_raw_geneNMF"")",needs_config_parameterization
scripts\python\define_snaI1_tme_program_families.py,25,"EVIDENCE_DIR = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas\00_documentation\kstar_evidence_v0_2"")",needs_config_parameterization
scripts\python\programme_state_research_synthesis.py,12,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\build_kstar_program_annotation_supplement.py,19,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready""",needs_config_parameterization
scripts\python\build_kstar_program_annotation_supplement.py,23,"DOCS = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas\00_documentation"")",needs_config_parameterization
scripts\python\build_kstar_program_annotation_supplement.py,24,"CNMF = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S3_cNMF_Tumor_Programs"")",needs_config_parameterization
scripts\python\build_sp6_hotspot_three_contrast_regenerated.py,21,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready"")",needs_config_parameterization
scripts\python\build_hh_state_family_count_summaries.py,10,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready"")",needs_config_parameterization
