line,kind,label_context,raw_reference,normalized_reference,resolved_path,exists,size_bytes,sha256,extension,release_decision,proposed_repo_path,notes
9,filename,sup:table1,tt_PEO4-SNAI1-2R_Analysis.xlsx,tt_PEO4-SNAI1-2R_Analysis.xlsx,D:\HGSOC_Spatial_Atlas\05_analysis_ready\Signature\tt_PEO4-SNAI1-2R_Analysis.xlsx,True,3413354,98dbbbc939cb89af4cba1b7c3faa71ac4857fced7bdf2b3bed53c57d3b5ff1f7,.xlsx,github_small_data,supplementary_data/signature/tt_PEO4-SNAI1-2R_Analysis.xlsx,resolved_by=filename_match:5; Small supplementary data table copied into GitHub-ready package.
13,filename,sup:table2,ora_deg_lists.csv,ora_deg_lists.csv,D:\HGSOC_Spatial_Atlas\05_analysis_ready\bulk_ora\ora_deg_lists.csv,True,130837,ff4abf62c86384514a88517e318f802b058185209431baec4c548710161f8eef,.csv,github_small_data,supplementary_data/signature/ora_deg_lists.csv,resolved_by=filename_match:3; Small supplementary data table copied into GitHub-ready package.
17,filename,sup:table3,ora_bulk_degs_all.csv,ora_bulk_degs_all.csv,D:\HGSOC_Spatial_Atlas\05_analysis_ready\bulk_ora\ora_bulk_degs_all.csv,True,2949000,31fbda5d37691402f57abb0d295a469599a506404a40b456d5fa87124afd5ec2,.csv,github_small_data,supplementary_data/signature/ora_bulk_degs_all.csv,resolved_by=filename_match:3; Small supplementary data table copied into GitHub-ready package.
22,filename,sup:table4,s2a_meta_analysis.csv,s2a_meta_analysis.csv,D:\HGSOC_Spatial_Atlas\05_analysis_ready\S2a_Hallmark_Correlation\s2a_meta_analysis.csv,True,21465,450e4237e4d9d768af8205be17155281fd31ce2889fd445940d30093ffc05ac9,.csv,github_small_data,supplementary_data/hallmark_composition/s2a_meta_analysis.csv,resolved_by=filename_match:3; Small supplementary data table copied into GitHub-ready package.
26,filename,sup:table5,s2a_per_sample_correlations.csv,s2a_per_sample_correlations.csv,D:\HGSOC_Spatial_Atlas\05_analysis_ready\S2a_Hallmark_Correlation\s2a_per_sample_correlations.csv,True,197006,b8770a9070e0392a39689b2ca25bb78fafddcb69a61235ed0d30740af412e8a9,.csv,github_small_data,supplementary_data/hallmark_composition/s2a_per_sample_correlations.csv,resolved_by=filename_match:3; Small supplementary data table copied into GitHub-ready package.
31,filename,sup:table6,celltype_correlations_summary.csv,celltype_correlations_summary.csv,D:\HGSOC_Spatial_Atlas\05_analysis_ready\cross_sample\thesis_23\celltype_correlations_summary.csv,True,1708,4d329c147c497b1c1e9d38a983dd4239c1deebdee568dc8fc46d9592ed6e2394,.csv,github_small_data,supplementary_data/hallmark_composition/celltype_correlations_summary.csv,resolved_by=filename_match:4; Small supplementary data table copied into GitHub-ready package.
76,texttt,sup: table7,D:\textbackslash HGSOC\_Spatial\_Atlas\textbackslash 05\_analysis\_ready\textbackslash cross\_sample\textbackslash \\  thesis\_23\textbackslash domain\_alignment\textbackslash domain\_alignment\_spagcn5.csv,D:/HGSOC_Spatial_Atlas/05_analysis_ready/cross_sample/thesis_23/domain_alignment/domain_alignment_spagcn5.csv,D:\HGSOC_Spatial_Atlas\05_analysis_ready\cross_sample\thesis_23\domain_alignment\domain_alignment_spagcn5.csv,True,11876,b0353ebe162f47cbc68a1b2be2e28886934670cbdc332e49542be05a55f2cc78,.csv,github_small_data,supplementary_data/spagcn_lisa/domain_alignment_spagcn5.csv,resolved_by=absolute; Small supplementary data table copied into GitHub-ready package.
82,texttt,sup:table8,D:\textbackslash HGSOC\_Spatial\_Atlas\textbackslash 05\_analysis\_ready\textbackslash cross\_sample\textbackslash \\ spagcn\_k5\_matched\_malignancy\textbackslash spagcn5\_domain\_annotation\_distribution\_summary.csv,D:/HGSOC_Spatial_Atlas/05_analysis_ready/cross_sample/spagcn_k5_matched_malignancy/spagcn5_domain_annotation_distribution_summary.csv,D:\HGSOC_Spatial_Atlas\05_analysis_ready\cross_sample\spagcn_k5_matched_malignancy\spagcn5_domain_annotation_distribution_summary.csv,True,254864,2c5795a0db4b73d146c61fc4d828f87bd5a33f0f4d5cc73297486d3fd763891e,.csv,github_small_data,supplementary_data/spagcn_lisa/spagcn5_domain_annotation_distribution_summary.csv,resolved_by=absolute; Small supplementary data table copied into GitHub-ready package.
160,filename,sup:table9,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_Epithelial.csv,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_Epithelial.csv,D:\HGSOC_Spatial_Atlas\scRNA_reference\rctd_outputs\gsea_results\meta_ranking_Epithelial.csv,True,489020,8bd412e6f620178267884d619c5af28db35221efe5866d447fa6e49cf9496de8,.csv,github_small_data,supplementary_data/cside/meta_ranking_Epithelial.csv,resolved_by=absolute; Small supplementary data table copied into GitHub-ready package.
161,filename,sup:table9,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_Fibroblast.csv,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_Fibroblast.csv,D:\HGSOC_Spatial_Atlas\scRNA_reference\rctd_outputs\gsea_results\meta_ranking_Fibroblast.csv,True,534399,02a67f160482f958a1055aa166d26f982fbd2a1bb8864055b1628aba4cb6cbf6,.csv,github_small_data,supplementary_data/cside/meta_ranking_Fibroblast.csv,resolved_by=absolute; Small supplementary data table copied into GitHub-ready package.
162,filename,sup:table9,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_Macrophage.csv,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_Macrophage.csv,D:\HGSOC_Spatial_Atlas\scRNA_reference\rctd_outputs\gsea_results\meta_ranking_Macrophage.csv,True,448789,6b9cc525525c1360efebc7db7f13d415b51a35356987cca8a4ef8fab494d34b1,.csv,github_small_data,supplementary_data/cside/meta_ranking_Macrophage.csv,resolved_by=absolute; Small supplementary data table copied into GitHub-ready package.
163,filename,sup:table9,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_CAF.csv,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_CAF.csv,D:\HGSOC_Spatial_Atlas\scRNA_reference\rctd_outputs\gsea_results\meta_ranking_CAF.csv,True,351908,968599cf087fd05cc7ccebd61c42ded9f9b2e069b220566e1e78e3e32771e7f6,.csv,github_small_data,supplementary_data/cside/meta_ranking_CAF.csv,resolved_by=absolute; Small supplementary data table copied into GitHub-ready package.
164,filename,sup:table9,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_Endothelial.csv,D:/HGSOC_Spatial_Atlas/scRNA_reference/rctd_outputs/gsea_results/meta_ranking_Endothelial.csv,D:\HGSOC_Spatial_Atlas\scRNA_reference\rctd_outputs\gsea_results\meta_ranking_Endothelial.csv,True,410186,791c02bc20df247b13041d6eb247ebf6f2ad1cdcaac986530b1852a1bf5a2324,.csv,github_small_data,supplementary_data/cside/meta_ranking_Endothelial.csv,resolved_by=absolute; Small supplementary data table copied into GitHub-ready package.
