dataset,sample,domain_a,domain_b,domain_high_snai,domain_low_snai,malignant_abs_delta,snai1ac_mean_abs_delta,snai1ac_median_abs_delta,snai1ac_q90_abs_delta,hh_frac_abs_delta,ll_frac_abs_delta,high_theme_label,low_theme_label,high_dominant_spacet,low_dominant_spacet,high_top_hallmark,low_top_hallmark,high_top_go,low_top_go,high_primary_marker_n,low_primary_marker_n,matched_malignancy_le_0.05,matched_malignancy_le_0.1,high_spacet_Malignant,low_spacet_Malignant,high_minus_low_spacet_Malignant,high_spacet_CAF,low_spacet_CAF,high_minus_low_spacet_CAF,high_spacet_Macrophage,low_spacet_Macrophage,high_minus_low_spacet_Macrophage,high_spacet_Endothelial,low_spacet_Endothelial,high_minus_low_spacet_Endothelial,high_spacet_Unidentifiable,low_spacet_Unidentifiable,high_minus_low_spacet_Unidentifiable,high_snai1ac_mean,low_snai1ac_mean,high_minus_low_snai1ac_mean,high_snai1ac_median,low_snai1ac_median,high_minus_low_snai1ac_median,high_snai1ac_q90,low_snai1ac_q90,high_minus_low_snai1ac_q90,high_snai1ac_iqr,low_snai1ac_iqr,high_minus_low_snai1ac_iqr,high_lisa_hh_frac,low_lisa_hh_frac,high_minus_low_lisa_hh_frac,high_lisa_ll_frac,low_lisa_ll_frac,high_minus_low_lisa_ll_frac
denisenko_2022,SP1,0,1,1,0,0.3546136243983803,0.47204888223251057,0.42786058700368207,0.7431502606884202,0.0783942349412364,0.033117017864890866,Translation_ribosome;Metabolic_stress,Translation_ribosome,Malignant,Malignant,Myc Targets V1; G2-M Checkpoint; Oxidative Phosphorylation,Myc Targets V1,Cytoplasmic Translation (GO:0002181); Gene Expression (GO:0010467); Translation (GO:0006412),Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043); Macromolecule Biosynthetic Process (GO:0009059),50,33,False,False,0.759108157039756,0.4044945326413757,0.3546136243983803,0.0364076146187655,0.0797542197532205,-0.043346605134455,0.0092753788482539,0.0182865868441546,-0.0090112079959007,0.0357685639283286,0.0689364475343081,-0.0331678836059795,0.0932088530842464,0.285685089277029,-0.19247623619278262,0.18288850486416935,-0.2891603773683412,0.47204888223251057,0.17391347865621182,-0.25394710834747025,0.42786058700368207,1.5908462211260916,0.8476959604376715,0.7431502606884202,1.4251799565075844,1.2722090307215712,0.15297092578601323,0.08345752608047691,0.005063291139240506,0.0783942349412364,0.02384500745156483,0.056962025316455694,-0.033117017864890866
denisenko_2022,SP1,0,2,2,0,0.06493728234837132,0.5266086359653028,0.4988591960251031,0.7375788911180867,0.06920726588993721,0.02247926669576604,ECM_stromal;Translation_ribosome;Vascular_coag_hypoxia;Epithelial_tumor,Translation_ribosome,Malignant,Malignant,Epithelial Mesenchymal Transition; Myogenesis; Coagulation,Myc Targets V1,Macromolecule Biosynthetic Process (GO:0009059); Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043),Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043); Macromolecule Biosynthetic Process (GO:0009059),49,33,False,True,0.469431814989747,0.4044945326413757,0.06493728234837132,0.1743992838338213,0.0797542197532205,0.0946450640806008,0.0397634296992721,0.0182865868441546,0.0214768428551175,0.0853448029036911,0.0689364475343081,0.01640835536938301,0.1681079119436835,0.285685089277029,-0.11757717733334552,0.23744825859696156,-0.2891603773683412,0.5266086359653028,0.24491208767763287,-0.25394710834747025,0.4988591960251031,1.5852748515557582,0.8476959604376715,0.7375788911180867,1.2746734618871591,1.2722090307215712,0.0024644311655879214,0.07427055702917772,0.005063291139240506,0.06920726588993721,0.034482758620689655,0.056962025316455694,-0.02247926669576604
denisenko_2022,SP1,0,3,3,0,0.07389868623236828,0.06525038880999123,0.024213819734953457,0.2908549215556411,0.028835013945505257,0.005991969840929298,ECM_stromal;Immune_inflammatory;Vascular_coag_hypoxia;Metabolic_stress,Translation_ribosome,Malignant,Malignant,Coagulation; Cholesterol Homeostasis; Myogenesis,Myc Targets V1,Negative Regulation Of Apoptotic Process (GO:0043066); Regulation Of T Cell Activation (GO:0050863); Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043); Macromolecule Biosynthetic Process (GO:0009059),50,33,False,True,0.478393218873744,0.4044945326413757,0.07389868623236828,0.1263409677916416,0.0797542197532205,0.04658674803842111,0.0512305493923848,0.0182865868441546,0.0329439625482302,0.0858220645939483,0.0689364475343081,0.0168856170596402,0.106314354446632,0.285685089277029,-0.179370734830397,-0.22390998855834998,-0.2891603773683412,0.06525038880999123,-0.2297332886125168,-0.25394710834747025,0.024213819734953457,1.1385508819933126,0.8476959604376715,0.2908549215556411,1.3761476782742226,1.2722090307215712,0.10393864755265136,0.03389830508474576,0.005063291139240506,0.028835013945505257,0.06295399515738499,0.056962025316455694,0.005991969840929298
denisenko_2022,SP1,0,4,4,0,0.11607146001397567,0.6360529646062419,0.6234459709256415,0.6019905927135007,0.04191657463257158,0.056962025316455694,ECM_stromal;Translation_ribosome;Immune_inflammatory;Vascular_coag_hypoxia;Epithelial_tumor,Translation_ribosome,CAF,Malignant,Epithelial Mesenchymal Transition; Coagulation; Complement,Myc Targets V1,Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043); Macromolecule Biosynthetic Process (GO:0009059),Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043); Macromolecule Biosynthetic Process (GO:0009059),50,33,False,False,0.2884230726274,0.4044945326413757,-0.11607146001397567,0.3938142895007422,0.0797542197532205,0.3140600697475217,0.0248169002574558,0.0182865868441546,0.006530313413301198,0.0908214703086847,0.0689364475343081,0.02188502277437661,0.1807011991110525,0.285685089277029,-0.1049838901659765,0.34689258723790073,-0.2891603773683412,0.6360529646062419,0.36949886257817116,-0.25394710834747025,0.6234459709256415,1.4496865531511722,0.8476959604376715,0.6019905927135007,1.191586063411594,1.2722090307215712,-0.0806229673099772,0.04697986577181208,0.005063291139240506,0.04191657463257158,0.0,0.056962025316455694,-0.056962025316455694
denisenko_2022,SP1,1,2,2,1,0.289676342050009,0.054559753732792204,0.07099860902142105,0.00557136957033344,0.00918696905129919,0.010637751169124826,ECM_stromal;Translation_ribosome;Vascular_coag_hypoxia;Epithelial_tumor,Translation_ribosome;Metabolic_stress,Malignant,Malignant,Epithelial Mesenchymal Transition; Myogenesis; Coagulation,Myc Targets V1; G2-M Checkpoint; Oxidative Phosphorylation,Macromolecule Biosynthetic Process (GO:0009059); Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043),Cytoplasmic Translation (GO:0002181); Gene Expression (GO:0010467); Translation (GO:0006412),49,50,False,False,0.469431814989747,0.759108157039756,-0.289676342050009,0.1743992838338213,0.0364076146187655,0.1379916692150558,0.0397634296992721,0.0092753788482539,0.030488050851018203,0.0853448029036911,0.0357685639283286,0.04957623897536251,0.1681079119436835,0.0932088530842464,0.0748990588594371,0.23744825859696156,0.18288850486416935,0.054559753732792204,0.24491208767763287,0.17391347865621182,0.07099860902142105,1.5852748515557582,1.5908462211260916,-0.00557136957033344,1.2746734618871591,1.4251799565075844,-0.1505064946204253,0.07427055702917772,0.08345752608047691,-0.00918696905129919,0.034482758620689655,0.02384500745156483,0.010637751169124826
denisenko_2022,SP1,1,3,1,3,0.280714938166012,0.40679849342251934,0.4036467672687286,0.4522953391327791,0.049559220995731144,0.039108987705820164,Translation_ribosome;Metabolic_stress,ECM_stromal;Immune_inflammatory;Vascular_coag_hypoxia;Metabolic_stress,Malignant,Malignant,Myc Targets V1; G2-M Checkpoint; Oxidative Phosphorylation,Coagulation; Cholesterol Homeostasis; Myogenesis,Cytoplasmic Translation (GO:0002181); Gene Expression (GO:0010467); Translation (GO:0006412),Negative Regulation Of Apoptotic Process (GO:0043066); Regulation Of T Cell Activation (GO:0050863); Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),50,50,False,False,0.759108157039756,0.478393218873744,0.280714938166012,0.0364076146187655,0.1263409677916416,-0.08993335317287611,0.0092753788482539,0.0512305493923848,-0.0419551705441309,0.0357685639283286,0.0858220645939483,-0.0500535006656197,0.0932088530842464,0.106314354446632,-0.0131055013623856,0.18288850486416935,-0.22390998855834998,0.40679849342251934,0.17391347865621182,-0.2297332886125168,0.4036467672687286,1.5908462211260916,1.1385508819933126,0.4522953391327791,1.4251799565075844,1.3761476782742226,0.04903227823336187,0.08345752608047691,0.03389830508474576,0.049559220995731144,0.02384500745156483,0.06295399515738499,-0.039108987705820164
denisenko_2022,SP1,1,4,4,1,0.47068508441235596,0.16400408237373137,0.19558538392195934,0.1411596679749194,0.036477660308664825,0.02384500745156483,ECM_stromal;Translation_ribosome;Immune_inflammatory;Vascular_coag_hypoxia;Epithelial_tumor,Translation_ribosome;Metabolic_stress,CAF,Malignant,Epithelial Mesenchymal Transition; Coagulation; Complement,Myc Targets V1; G2-M Checkpoint; Oxidative Phosphorylation,Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043); Macromolecule Biosynthetic Process (GO:0009059),Cytoplasmic Translation (GO:0002181); Gene Expression (GO:0010467); Translation (GO:0006412),50,50,False,False,0.2884230726274,0.759108157039756,-0.47068508441235596,0.3938142895007422,0.0364076146187655,0.3574066748819767,0.0248169002574558,0.0092753788482539,0.015541521409201899,0.0908214703086847,0.0357685639283286,0.055052906380356106,0.1807011991110525,0.0932088530842464,0.08749234602680611,0.34689258723790073,0.18288850486416935,0.16400408237373137,0.36949886257817116,0.17391347865621182,0.19558538392195934,1.4496865531511722,1.5908462211260916,-0.1411596679749194,1.191586063411594,1.4251799565075844,-0.23359389309599043,0.04697986577181208,0.08345752608047691,-0.036477660308664825,0.0,0.02384500745156483,-0.02384500745156483
denisenko_2022,SP1,2,3,2,3,0.008961403883996966,0.46135824715531154,0.4746453762901497,0.44672396956244564,0.040372251944431954,0.028471236536695338,ECM_stromal;Translation_ribosome;Vascular_coag_hypoxia;Epithelial_tumor,ECM_stromal;Immune_inflammatory;Vascular_coag_hypoxia;Metabolic_stress,Malignant,Malignant,Epithelial Mesenchymal Transition; Myogenesis; Coagulation,Coagulation; Cholesterol Homeostasis; Myogenesis,Macromolecule Biosynthetic Process (GO:0009059); Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043),Negative Regulation Of Apoptotic Process (GO:0043066); Regulation Of T Cell Activation (GO:0050863); Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),49,50,True,True,0.469431814989747,0.478393218873744,-0.008961403883996966,0.1743992838338213,0.1263409677916416,0.048058316042179694,0.0397634296992721,0.0512305493923848,-0.011467119693112697,0.0853448029036911,0.0858220645939483,-0.00047726169025719134,0.1681079119436835,0.106314354446632,0.061793557497051496,0.23744825859696156,-0.22390998855834998,0.46135824715531154,0.24491208767763287,-0.2297332886125168,0.4746453762901497,1.5852748515557582,1.1385508819933126,0.44672396956244564,1.2746734618871591,1.3761476782742226,-0.10147421638706344,0.07427055702917772,0.03389830508474576,0.040372251944431954,0.034482758620689655,0.06295399515738499,-0.028471236536695338
denisenko_2022,SP1,2,4,4,2,0.18100874236234699,0.10944432864093917,0.1245867749005383,0.13558829840458597,0.027290691257365635,0.034482758620689655,ECM_stromal;Translation_ribosome;Immune_inflammatory;Vascular_coag_hypoxia;Epithelial_tumor,ECM_stromal;Translation_ribosome;Vascular_coag_hypoxia;Epithelial_tumor,CAF,Malignant,Epithelial Mesenchymal Transition; Coagulation; Complement,Epithelial Mesenchymal Transition; Myogenesis; Coagulation,Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043); Macromolecule Biosynthetic Process (GO:0009059),Macromolecule Biosynthetic Process (GO:0009059); Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043),50,49,False,False,0.2884230726274,0.469431814989747,-0.18100874236234699,0.3938142895007422,0.1743992838338213,0.2194150056669209,0.0248169002574558,0.0397634296992721,-0.014946529441816302,0.0908214703086847,0.0853448029036911,0.005476667404993599,0.1807011991110525,0.1681079119436835,0.012593287167369016,0.34689258723790073,0.23744825859696156,0.10944432864093917,0.36949886257817116,0.24491208767763287,0.1245867749005383,1.4496865531511722,1.5852748515557582,-0.13558829840458597,1.191586063411594,1.2746734618871591,-0.08308739847556512,0.04697986577181208,0.07427055702917772,-0.027290691257365635,0.0,0.034482758620689655,-0.034482758620689655
denisenko_2022,SP1,3,4,4,3,0.18997014624634395,0.5708025757962507,0.599232151190688,0.3111356711578597,0.01308156068706632,0.06295399515738499,ECM_stromal;Translation_ribosome;Immune_inflammatory;Vascular_coag_hypoxia;Epithelial_tumor,ECM_stromal;Immune_inflammatory;Vascular_coag_hypoxia;Metabolic_stress,CAF,Malignant,Epithelial Mesenchymal Transition; Coagulation; Complement,Coagulation; Cholesterol Homeostasis; Myogenesis,Cytoplasmic Translation (GO:0002181); Peptide Biosynthetic Process (GO:0043043); Macromolecule Biosynthetic Process (GO:0009059),Negative Regulation Of Apoptotic Process (GO:0043066); Regulation Of T Cell Activation (GO:0050863); Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),50,50,False,False,0.2884230726274,0.478393218873744,-0.18997014624634395,0.3938142895007422,0.1263409677916416,0.2674733217091006,0.0248169002574558,0.0512305493923848,-0.026413649134929,0.0908214703086847,0.0858220645939483,0.004999405714736407,0.1807011991110525,0.106314354446632,0.07438684466442051,0.34689258723790073,-0.22390998855834998,0.5708025757962507,0.36949886257817116,-0.2297332886125168,0.599232151190688,1.4496865531511722,1.1385508819933126,0.3111356711578597,1.191586063411594,1.3761476782742226,-0.18456161486262856,0.04697986577181208,0.03389830508474576,0.01308156068706632,0.0,0.06295399515738499,-0.06295399515738499
