between_domain_var,mean_within_var,ratio,dataset,sample
0.0661988793421372,0.9652825404864094,0.0685797956200257,visium/denisenko_2022,SP1
0.2598316347302439,0.7309972442258283,0.3554481727293265,visium/denisenko_2022,SP2
0.0637177794328988,0.9466827600617138,0.0673063692727911,visium/denisenko_2022,SP3
0.1965677814548141,1.192112867636737,0.1648902438612991,visium/denisenko_2022,SP4
0.2479190412258234,1.3148518792001522,0.1885528287616982,visium/denisenko_2022,SP5
0.1058482881803712,1.1433122301156682,0.0925803865228159,visium/denisenko_2022,SP6
0.0925910326896218,0.9801777768397028,0.0944635094545345,visium/denisenko_2022,SP7
0.2192934299220747,0.8850983948914106,0.2477616400479169,visium/denisenko_2022,SP8
0.3860251627102542,0.6475015957986721,0.5961763881587114,visium/yamamoto_2025,Pt1-1
0.3874996420107409,0.9036523383665814,0.4288149607526886,visium/yamamoto_2025,Pt1-2
0.4874003980612965,1.2804470431503336,0.3806486185185186,visium/yamamoto_2025,Pt1-3
0.1239323058355136,1.006804835392122,0.1230946668896812,visium/yamamoto_2025,Pt1-4
0.2988765477385922,1.0602039455408787,0.2819047684133225,visium/yamamoto_2025,Pt2-1
0.0326262236189953,1.0133051831528137,0.0321978256515786,visium/yamamoto_2025,Pt2-2
0.0654070358618931,1.2255225357379649,0.0533707328543798,visium/yamamoto_2025,Pt2-3
0.1191874189025084,0.8498346399972257,0.1402477767944332,visium/yamamoto_2025,Pt2-4
0.0565308589141248,1.00621612229974,0.0561816270493874,visium/ju_2024,CPS_OV19_LtOV1
0.0110739300517062,1.0351362500597046,0.0106980410077103,visium/ju_2024,CPS_OV1RtOV3
0.0160093310767692,1.1294563882469115,0.0141743685222039,visium/ju_2024,CPS_OV20RtOV4
0.2830095219492216,0.8884116877247411,0.3185567297904653,visium/ju_2024,CPS_OV24RTOV4
0.0859809659882988,0.9297962448767396,0.0924729116320502,visium/ju_2024,CPS_OV34RtOV1
0.1082944393836358,0.9830483007512338,0.1101618702772574,visium/ju_2024,CPS_OV5LtOV4
0.0489134913959529,1.0745487134518044,0.0455200316036177,visium/ju_2024,CPS_OV71_1
