domain,mean,std,median,count,dataset,sample
0,-0.2891603773683412,0.9195917626526148,-0.2539471083474702,790.0,visium/denisenko_2022,SP1
1,0.1828885048641693,1.029270523439317,0.1739134786562118,671.0,visium/denisenko_2022,SP1
2,0.2374482585969615,1.048433343911493,0.2449120876776328,377.0,visium/denisenko_2022,SP1
3,-0.2239099885583499,1.0599798398490283,-0.2297332886125168,413.0,visium/denisenko_2022,SP1
4,0.3468925872379007,0.8358206413822594,0.3694988625781711,298.0,visium/denisenko_2022,SP1
0,-0.008746467061087,0.912815695940132,-0.0611169848556158,504.0,visium/denisenko_2022,SP2
1,-0.1210573521063909,0.7877251487557819,-0.1834632200166686,561.0,visium/denisenko_2022,SP2
2,1.003710420701565,0.8835566832502616,0.9708780042695042,421.0,visium/denisenko_2022,SP2
3,-0.3424603113202532,0.9302033530581072,-0.3183456079153315,268.0,visium/denisenko_2022,SP2
4,-0.4037037856010637,0.7451792575182209,-0.4998510542903898,172.0,visium/denisenko_2022,SP2
0,0.1630572957580604,1.171676091669018,0.3080048059495147,376.0,visium/denisenko_2022,SP3
1,-0.2491818755352201,1.001782428805316,-0.2450170270195232,249.0,visium/denisenko_2022,SP3
2,0.0005210072826484,0.8549112614764022,-0.0077451286135654,302.0,visium/denisenko_2022,SP3
3,-0.3589860107304599,0.9299570471807462,-0.3988002242598223,280.0,visium/denisenko_2022,SP3
4,0.3225191745542598,0.8725408456091902,0.2968919224243058,285.0,visium/denisenko_2022,SP3
0,-0.1585091403181829,0.8005642979200305,-0.1759094224871709,1181.0,visium/denisenko_2022,SP4
1,0.2858014353260776,1.108868024192481,0.2395506056971464,522.0,visium/denisenko_2022,SP4
2,-0.5293186397643651,0.8582997760720809,-0.5195394584702507,411.0,visium/denisenko_2022,SP4
3,0.0080319712953203,1.560122890741118,0.0818603936698866,253.0,visium/denisenko_2022,SP4
4,0.7921447526844161,0.9588591701512532,0.8176877827050191,477.0,visium/denisenko_2022,SP4
0,-0.3327203980099225,0.8927323150163422,-0.3710039090032146,621.0,visium/denisenko_2022,SP5
1,0.2197194028260322,0.721027912489674,0.2313443560556949,655.0,visium/denisenko_2022,SP5
2,0.9796262208158404,1.544495907840894,0.7380964924875542,260.0,visium/denisenko_2022,SP5
3,0.3887971820551256,1.289360440744171,0.2883050958535605,174.0,visium/denisenko_2022,SP5
4,-0.3605017783353348,1.0997677953294664,-0.5011239389774826,278.0,visium/denisenko_2022,SP5
0,-0.2511891459537241,0.94541295834174,-0.1863760652265388,443.0,visium/denisenko_2022,SP6
1,-0.1306429589472984,1.2880911589908972,-0.3278690053635628,452.0,visium/denisenko_2022,SP6
2,0.5783821917179723,1.371419854819507,0.4725616278710138,363.0,visium/denisenko_2022,SP6
3,0.3716245829180142,0.8820529203287927,0.3389924576629357,382.0,visium/denisenko_2022,SP6
4,-0.1252405788309442,0.7104694803111803,-0.0017843421718006,118.0,visium/denisenko_2022,SP6
0,-0.1410687828787615,0.8574507676423804,-0.1138624229554984,939.0,visium/denisenko_2022,SP7
1,0.3613543943187315,0.9163915203478998,0.4007524751565727,720.0,visium/denisenko_2022,SP7
2,-0.5153602581087361,0.8770686561158023,-0.5096928812737265,658.0,visium/denisenko_2022,SP7
3,0.0981267106187648,1.0386081296169878,0.0556231094408845,648.0,visium/denisenko_2022,SP7
4,0.1930176316700081,1.2157044757074775,0.1340138871922988,457.0,visium/denisenko_2022,SP7
0,-0.3695091873139632,0.9225393713501592,-0.3752294057122095,814.0,visium/denisenko_2022,SP8
1,-0.0878313396861522,0.8757639579215426,-0.0706662012312707,728.0,visium/denisenko_2022,SP8
2,0.6857346593949655,0.8763964890058028,0.8091507382973729,518.0,visium/denisenko_2022,SP8
3,0.3701585905514483,1.023875556512314,0.445511352345607,510.0,visium/denisenko_2022,SP8
4,-0.587359700155839,0.9955192673205284,-0.5533825779564694,463.0,visium/denisenko_2022,SP8
0,-0.5660338356916856,0.7388171982612624,-0.556642260726342,327.0,visium/yamamoto_2025,Pt1-1
1,0.47500005146921,0.8475450442137907,0.5687828207920474,380.0,visium/yamamoto_2025,Pt1-1
2,-0.1101058213755554,0.7033568944782843,-0.1208476945565366,362.0,visium/yamamoto_2025,Pt1-1
3,0.6434279688414376,0.7464264434469318,0.663502402303705,295.0,visium/yamamoto_2025,Pt1-1
4,-1.011306003939535,0.9599276889893374,-1.0948462625330178,161.0,visium/yamamoto_2025,Pt1-1
0,-1.261261290350173,1.421339916628558,-1.3747010906714878,184.0,visium/yamamoto_2025,Pt1-2
1,0.4746904470101202,0.648358766392495,0.4805440634427967,246.0,visium/yamamoto_2025,Pt1-2
2,0.341813715776518,0.8563995497657767,0.4179263915730322,293.0,visium/yamamoto_2025,Pt1-2
3,-0.432325301899125,0.7314862556562048,-0.3983774348419167,242.0,visium/yamamoto_2025,Pt1-2
4,-0.3308712407541235,0.899551617318469,-0.4055725250832718,166.0,visium/yamamoto_2025,Pt1-2
0,0.0142174316730503,0.7984422781161878,0.0271532264956607,625.0,visium/yamamoto_2025,Pt1-3
1,-0.7507920903458538,1.5851438203046455,-0.6358770181931999,378.0,visium/yamamoto_2025,Pt1-3
2,0.2683618766039542,0.8738471895307554,0.3002846494005502,525.0,visium/yamamoto_2025,Pt1-3
3,-0.4674179221363509,0.926062716553061,-0.519918625148153,309.0,visium/yamamoto_2025,Pt1-3
4,1.266702485237862,1.2770446928662516,1.2367421532129403,165.0,visium/yamamoto_2025,Pt1-3
0,0.385015591196001,0.9056866922937212,0.3663002717626336,502.0,visium/yamamoto_2025,Pt1-4
1,-0.03204596579816,0.9586995376053564,0.0194910035028555,403.0,visium/yamamoto_2025,Pt1-4
2,-0.582839595821058,1.110228257361103,-0.600007226529085,263.0,visium/yamamoto_2025,Pt1-4
3,-0.4981452123725991,1.0911345709459337,-0.5359489268299649,141.0,visium/yamamoto_2025,Pt1-4
4,-0.0448521491615574,0.9335253363468528,-0.1614668354484778,78.0,visium/yamamoto_2025,Pt1-4
0,0.2962117701568247,0.9723476474464234,0.2906899681182384,476.0,visium/yamamoto_2025,Pt2-1
1,0.3251589922535055,0.8295159802655846,0.3039387158240925,412.0,visium/yamamoto_2025,Pt2-1
2,-0.2986744154288014,0.9593316468665508,-0.2831733389087485,384.0,visium/yamamoto_2025,Pt2-1
3,-0.1124182598333397,1.065911247978808,-0.116534325372534,390.0,visium/yamamoto_2025,Pt2-1
4,-1.1773303230063148,1.2692434839093711,-1.20378981727779,171.0,visium/yamamoto_2025,Pt2-1
0,0.1592489546922691,0.9519830944929992,0.1325952930911531,763.0,visium/yamamoto_2025,Pt2-2
1,-0.0721663263566169,0.9800574457274306,-0.0233182791502182,425.0,visium/yamamoto_2025,Pt2-2
2,-0.0062865259876389,1.0625547660889174,-0.0739633632393122,370.0,visium/yamamoto_2025,Pt2-2
3,-0.0862674938868346,1.0858763196888004,-0.1126757307340259,359.0,visium/yamamoto_2025,Pt2-2
4,-0.3967929245196805,0.9442412266146072,-0.3746925588379816,109.0,visium/yamamoto_2025,Pt2-2
0,0.1321014985529785,0.8046298742730114,0.1180898099377561,677.0,visium/yamamoto_2025,Pt2-3
1,-0.2103516209410853,1.2135000587143647,-0.0973871230092861,572.0,visium/yamamoto_2025,Pt2-3
2,0.0935739563913306,1.1313223740267486,0.0959293328738092,374.0,visium/yamamoto_2025,Pt2-3
3,-0.4802587811170682,1.1891810551667206,-0.4370857143295155,316.0,visium/yamamoto_2025,Pt2-3
4,0.1999408847998301,1.1461060839540558,0.1774087607101241,172.0,visium/yamamoto_2025,Pt2-3
0,0.22537119021868,0.8999244338546172,0.1894959957785857,950.0,visium/yamamoto_2025,Pt2-4
1,-0.0293700308408875,1.0397935357663612,-0.0563483843586282,922.0,visium/yamamoto_2025,Pt2-4
2,-0.4567658184168377,0.9885169907361666,-0.5013010142311669,565.0,visium/yamamoto_2025,Pt2-4
3,0.5696479923719937,0.8296771656390745,0.5713739408143472,308.0,visium/yamamoto_2025,Pt2-4
4,-0.1319462731140806,0.8322310833891569,-0.1648300781591578,525.0,visium/yamamoto_2025,Pt2-4
0,0.0869640428195037,1.0164135469985236,0.0885440027800312,919.0,visium/ju_2024,CPS_OV19_LtOV1
1,0.1980410779187939,0.8974362152797886,0.192107864832218,898.0,visium/ju_2024,CPS_OV19_LtOV1
2,-0.4542858811413792,1.1394289043939587,-0.4702686297034357,628.0,visium/ju_2024,CPS_OV19_LtOV1
3,-0.1052706848850973,0.8484390823706683,-0.1348980736649109,752.0,visium/ju_2024,CPS_OV19_LtOV1
4,0.1471697104020322,1.083718251123635,0.1691391607081333,1005.0,visium/ju_2024,CPS_OV19_LtOV1
0,-0.1201785209006174,0.97665313327714,-0.1145505729750885,1065.0,visium/ju_2024,CPS_OV1RtOV3
1,0.0955418033611952,0.975760904236974,0.016670921397292,902.0,visium/ju_2024,CPS_OV1RtOV3
2,0.076226771736008,1.1269325054042496,0.0578482253073071,378.0,visium/ju_2024,CPS_OV1RtOV3
3,0.1764985626527575,0.9897693011049972,0.0918499309623388,190.0,visium/ju_2024,CPS_OV1RtOV3
4,0.1560321165863344,1.010000209987373,0.1152461611249984,629.0,visium/ju_2024,CPS_OV1RtOV3
0,0.0416229860706497,0.8237949858636993,0.0263001813776791,1052.0,visium/ju_2024,CPS_OV20RtOV4
1,-0.0346809821478029,1.1036123753506577,-0.0284130457234533,772.0,visium/ju_2024,CPS_OV20RtOV4
2,-0.0273285926354644,1.1412413633099767,-0.0799770450654084,544.0,visium/ju_2024,CPS_OV20RtOV4
3,0.0161626264863355,1.1546062965961943,-0.0732439715034436,497.0,visium/ju_2024,CPS_OV20RtOV4
4,0.3073832050021383,1.055999970645867,0.2887278080435503,170.0,visium/ju_2024,CPS_OV20RtOV4
0,0.0398320008471064,0.8704957169930968,0.0361194462602695,1678.0,visium/ju_2024,CPS_OV24RTOV4
1,-0.2318605062971662,0.8650150983857587,-0.2062227053128892,866.0,visium/ju_2024,CPS_OV24RTOV4
2,-0.7210311293293997,0.9313054515348792,-0.7595556057094452,770.0,visium/ju_2024,CPS_OV24RTOV4
3,0.518896343388334,0.8442750753596325,0.5355065206105263,836.0,visium/ju_2024,CPS_OV24RTOV4
4,0.7742446587429869,1.1644373224665026,0.7288794087214088,329.0,visium/ju_2024,CPS_OV24RTOV4
0,0.1007822438644378,1.0972535397562435,0.0777716668498555,807.0,visium/ju_2024,CPS_OV34RtOV1
1,-0.1962380396333508,0.8823876282781542,-0.2356373729152296,792.0,visium/ju_2024,CPS_OV34RtOV1
2,0.2285253974310692,0.865940091811279,0.2483225142913414,800.0,visium/ju_2024,CPS_OV34RtOV1
3,0.2457216281596825,1.0884811966081636,0.2569024747797219,688.0,visium/ju_2024,CPS_OV34RtOV1
4,-0.5222565305986367,0.8554322938503544,-0.5414134036436864,428.0,visium/ju_2024,CPS_OV34RtOV1
0,-0.2554059590933987,1.009127800454606,-0.1807911441306296,956.0,visium/ju_2024,CPS_OV5LtOV4
1,-0.2930703472597518,0.9304743683988184,-0.2997830809508817,952.0,visium/ju_2024,CPS_OV5LtOV4
2,0.2516633948613561,1.0848353258674368,0.176055227354208,696.0,visium/ju_2024,CPS_OV5LtOV4
3,0.2598691665874843,0.946686250979934,0.2342089124259176,670.0,visium/ju_2024,CPS_OV5LtOV4
4,0.5606593683592042,0.9787938975158598,0.5965087108082443,311.0,visium/ju_2024,CPS_OV5LtOV4
0,0.0504503817059818,0.7668792699667084,0.0335706423941319,533.0,visium/ju_2024,CPS_OV71_1
1,-0.345468193139854,1.007037075511815,-0.3718172025774363,532.0,visium/ju_2024,CPS_OV71_1
2,0.2914450083321288,1.0819463172728434,0.3633224610434433,372.0,visium/ju_2024,CPS_OV71_1
3,0.2151421563428794,0.9533877367786768,0.2561779740084164,349.0,visium/ju_2024,CPS_OV71_1
4,0.1103162116591513,1.3003692056484286,-0.1009913554258357,374.0,visium/ju_2024,CPS_OV71_1
