domain,Malignant,CAF,Endothelial,Plasma,B cell,T CD4,T CD8,NK,cDC,pDC,Macrophage,Mast,Neutrophil,Unidentifiable,dataset,sample
0,0.4044945326413757,0.0797542197532205,0.0689364475343081,0.0053447120692488,0.1196484956578108,0.0046660123216645,0.0004638734216705,0.0004139235975353,0.001669114059263,0.0092855964453266,0.0182865868441546,0.0006836419109565,0.0006677924411189,0.285685089277029,visium/denisenko_2022,SP1
1,0.759108157039756,0.0364076146187655,0.0357685639283286,0.0032949636204821,0.0526101154481213,0.0034264611403244,0.0002838373380577,0.0002361450702051,0.0008767562094847,0.0045827275332008,0.0092753788482539,0.0003314869867186,0.0005910106690765,0.0932088530842464,visium/denisenko_2022,SP1
2,0.469431814989747,0.1743992838338213,0.0853448029036911,0.0054360347093781,0.0372378350129967,0.0054824463749674,0.0011761466849885,0.0006050212433865,0.0018100362959005,0.010325167521832,0.0397634296992721,0.0007019823408753,0.000178245596653,0.1681079119436835,visium/denisenko_2022,SP1
3,0.478393218873744,0.1263409677916416,0.0858220645939483,0.0069676865571991,0.1335067911580128,0.002629274467546,0.0001686372562863,0.0003655508537428,0.0003825332555195,0.0050057754929852,0.0512305493923848,0.002675554038121,0.000197066035311,0.106314354446632,visium/denisenko_2022,SP1
4,0.2884230726274,0.3938142895007422,0.0908214703086847,0.0030997737766961,0.0055881740556514,0.0022771075211336,0.0007986666066009,0.0005097944945125,0.001289005234186,0.0072086735752948,0.0248169002574558,0.0006177230672096,3.414986337932884e-05,0.1807011991110525,visium/denisenko_2022,SP1
0,0.1556333526318329,0.5733385797579479,0.0232388150499516,0.031711880502952,0.0176142518111995,0.0208007014068907,0.010807574596602,0.0026026534093227,0.0087901977121603,0.013251253052053,0.1210636720631618,0.0019267705074934,0.0002223290946384,0.0189979684037932,visium/denisenko_2022,SP2
1,0.567413812720446,0.2456804577696185,0.0106981890237933,0.019431127610979,0.0108917468496118,0.0072435151275068,0.0073556628212801,0.0012266464092033,0.0073275444420882,0.0066610569741996,0.0974642813947092,0.0027686211845968,9.23193868657952e-05,0.0157451252369726,visium/denisenko_2022,SP2
2,0.7851764145290198,0.0930828630348439,0.0130410560424307,0.0128425088581308,0.0044555466823685,0.0039102885241774,0.00187004269439,0.0008988992386322,0.0042715751236353,0.009597139575255,0.0190813362256956,0.0012739082052612,0.0003085361769326,0.0501920228564474,visium/denisenko_2022,SP2
3,0.6246484144626413,0.3189382179845656,0.0083358002598408,0.0045106373037851,0.0014951977124879,0.0010462075796263,0.0015678373062641,0.000402722676517,0.0020418014897984,0.0024637676043205,0.0277569171138077,0.0034412554030897,0.0001014556846718,0.0032499166723144,visium/denisenko_2022,SP2
4,0.342634480808652,0.28538774781933,0.0128768014077756,0.0143051953666881,0.0063910851411433,0.0043872284553355,0.0078300546192894,0.0014026778267893,0.0011656223992545,0.0049645953024816,0.3141010991133988,0.0022342882720485,7.213869530102636e-06,0.0023119095982828,visium/denisenko_2022,SP2
0,0.7792553191489362,0.0418568638817323,0.0276443635110442,0.0077872139816596,0.0064783555127454,0.0036283622866858,0.0011238309874369,0.0004555564901177,0.0061562652652594,0.0105876337326854,0.0126080148990666,0.000363706946869,0.001118735032298,0.1009378261958033,visium/denisenko_2022,SP3
1,0.1304932649257316,0.4075962940773558,0.1404042927290416,0.0018641985769333,0.0034796828169472,0.0029659675111634,0.0014255204925648,0.0007301675857202,0.0023970627622216,0.0318438619837448,0.0054200245571606,0.0013822997131765,0.0003138614461951,0.2696835008220428,visium/denisenko_2022,SP3
2,0.2985836053106879,0.3599896572853975,0.0591459852097308,0.0117422708652264,0.0092228624043655,0.0083212164611518,0.0025945632710239,0.0004512733232919,0.0060932172864066,0.0124419082646037,0.0296526672976874,0.0002685003797298,0.0005694737913924,0.2009227988493037,visium/denisenko_2022,SP3
3,0.1887388926862611,0.3847417129015966,0.0560521538497755,0.0014345123200182,0.0090824903096939,0.002221439603961,0.0004511835539572,0.0001880762032734,0.0015246568215413,0.0138723166499448,0.0068627407147707,0.0003835774304866,0.0002026670023733,0.3342435799523456,visium/denisenko_2022,SP3
4,0.3881026329779792,0.1425850626076327,0.0904875404208294,0.001588347475867,0.0063974294577837,0.0032073856804456,0.0011539705097836,0.0004900364745189,0.001312272505364,0.0215730666625363,0.0044498638983665,0.0027318840440641,0.000240708621449,0.3356797986633792,visium/denisenko_2022,SP3
0,0.5128040031987958,0.0544411397854194,0.0516888776612065,0.0231227053359168,0.0140626678429666,0.0040207441740716,4.10687150847212e-05,0.0001449553782561,0.0066949477708092,0.0120057204309273,0.006415731363896,0.0008293786825915,0.001099934383527,0.3126282861571404,visium/denisenko_2022,SP4
1,0.6776054970200085,0.0549835825248346,0.0452698728642821,0.014402621984758,0.0142113014860453,0.003667617528613,4.415330926239338e-05,5.570767282715027e-05,0.007943399468607,0.0090304591534241,0.0057300363043923,0.0029059726859667,0.0007282197943908,0.1634233972830471,visium/denisenko_2022,SP4
2,0.2501351716680183,0.199038901920689,0.0610423362787508,0.0139824375108815,0.014474374620763,0.0048240503016694,0.000116435127014,4.873830988477131e-05,0.0029857905957723,0.0134963082409931,0.0093256558591345,0.0005277370064519,0.0011091671069602,0.4288929197839167,visium/denisenko_2022,SP4
3,0.2193744510320597,0.4796456924017978,0.065979554899705,0.0064256500718873,0.0122519832411191,0.0033793172739235,0.0004410134563336,0.0001545746327916,0.0006930061913908,0.0105616811476901,0.0256084518377279,0.0007889389750654,0.000607606176804,0.1740880786617035,visium/denisenko_2022,SP4
4,0.6171565630095506,0.0960315704190435,0.0569439771217124,0.0139613540670514,0.0097752582587063,0.0055870037809586,3.7986321229472565e-05,0.0001014097358323,0.0050152732009948,0.0102417406345901,0.0084795436351141,0.0005716239641773,0.002182471560293,0.1739148951502842,visium/denisenko_2022,SP4
0,0.2668296029500043,0.083129701610367,0.0046743374960639,0.0025565802313131,0.0029500901074811,0.0005151862691851,0.000413003012597,0.0005394452797518,0.0001830749341865,0.0013448567740806,0.6343517250927867,0.0001286356550635,0.0003389726034368,0.0020447879836821,visium/denisenko_2022,SP5
1,0.5857920411942725,0.0358658443735156,0.0008803171313563,0.0008291817066124,0.0001723541398677,3.877749140610224e-05,7.956865413293602e-05,0.0001466420942781,0.0006632890398151,0.0001436300431666,0.374935761163748,5.69087361423334e-05,0.000150870399241,0.0002448290996204,visium/denisenko_2022,SP5
2,0.6158682294037324,0.1628803344587162,0.0108358355645517,0.0055160320163961,0.0043389697395843,0.0057148741280186,0.0039035092592325,0.001330557476529,0.0024309489746437,0.0023446910409093,0.1640778639358305,0.0002879356454746,7.078193428614708e-05,0.0204005902682482,visium/denisenko_2022,SP5
3,0.8400581513976739,0.0299967035984994,0.0044146229288081,0.0051453666885717,0.0036116776353191,0.0041394487792903,0.0024723909105952,0.0011894673376656,0.0011653239438995,0.0019921940886929,0.0930405342782124,8.828798604941895e-05,0.0018726306181271,0.0108175101534222,visium/denisenko_2022,SP5
4,0.2014707760418884,0.21116343225131,0.0321199428953693,0.0125139082491678,0.0050751130850631,0.0038092358029707,0.0028911531501084,0.0015374389608357,0.0010067897546874,0.0085103461565712,0.4816512042428581,0.0010754652841037,0.0006041337937697,0.036571060331296,visium/denisenko_2022,SP5
0,0.3636313520226081,0.3670964816916314,0.0212851017568473,0.0568293569219875,0.0095523933519935,0.0060277523642448,0.0036690982777246,0.0010373280999996,0.0025523619528264,0.0093566583904009,0.0833820047024791,0.0002176540026527,0.0003713390205214,0.074991117444082,visium/denisenko_2022,SP6
1,0.366045226016334,0.0881351741732608,0.0500323768993518,0.0369792020896884,0.0124160360340337,0.0108986959161228,0.0047859565178146,0.0020943579994408,0.0070352979391998,0.0237233418608782,0.2736802606506338,0.0002784510319378,0.0006800264404667,0.1232158840414555,visium/denisenko_2022,SP6
2,0.5508898284079402,0.1660594094344712,0.0260700818871457,0.0186031052022644,0.0071935400887736,0.0059455009477699,0.0038752655212214,0.0012811314200481,0.0079740111557183,0.0129892753317299,0.0384257523576446,0.0001594300839045,0.0003623007335656,0.1601726346454327,visium/denisenko_2022,SP6
3,0.6302742970968653,0.2969741419437481,0.0067041491744834,0.0106986265231975,0.0022825595719508,0.0014874045527267,0.0008607482348491,0.0003498833418306,0.001223385877826,0.0015130298679449,0.0163044662921932,0.0001780248628805,0.0001211770034074,0.0310289171744204,visium/denisenko_2022,SP6
