domain,Malignant,CAF,Endothelial,Plasma,B cell,T CD4,T CD8,NK,cDC,pDC,Macrophage,Mast,Neutrophil,Unidentifiable,dataset,sample
0,0.3575510890185625,0.1042056862345485,0.0794940348850823,0.0060290442028912,0.1121071511299681,0.0047257409497577,0.0004015507352782,0.0004981817527985,0.0017098183174013,0.0109028317805994,0.0226171293739639,0.0006450461965983,0.0004959935060939,0.2986167019164554,visium/denisenko_2022,SP1
1,0.4836470826769811,0.12627085579585,0.086789490612726,0.0068638795782633,0.1337190842605245,0.002672980297328,0.0001499942621545,0.0003467747352001,0.000356681038103,0.0047646421871762,0.0500025826898982,0.0027345223846546,0.0001969068172582,0.1014845226638818,visium/denisenko_2022,SP1
2,0.60142965204236,0.1503016968319538,0.0682476269669922,0.0025617065521787,0.0222205804733808,0.0040848538514004,0.0008577485445165,0.0005534680627499,0.0020699018920379,0.0084979250788247,0.03970014517806,0.0004842349329539,0.0002635353936843,0.0987272241989061,visium/denisenko_2022,SP1
3,0.4340645486636409,0.048757331356219,0.0565935591107096,0.0042144336144974,0.1338560725829538,0.0035344559105822,0.0005309179049031,0.0002680018722024,0.0014732915809745,0.0078384577856348,0.0149661528514207,0.0007372996490977,0.0007654561634538,0.2924000209537092,visium/denisenko_2022,SP1
4,0.2544102550248541,0.419636271147135,0.0752094678153297,0.0013459976445831,0.0068728014947164,0.0011588493654995,0.0003519255447353,0.0004410280293845,0.0011545184651448,0.0074118973526956,0.0194186658296485,0.0003995713963634,2.7053684870234966e-05,0.2121616972050392,visium/denisenko_2022,SP1
5,0.808172216130689,0.0170483381010063,0.0249040668985801,0.0025000121626525,0.0425527884491838,0.0030960819722955,0.0002885514915295,0.0002608336524009,0.0011013974279021,0.003651148266274,0.00418066072394,0.0002047715363353,0.0007442079739795,0.0912974634395304,visium/denisenko_2022,SP1
6,0.6720027929710228,0.0610949025717911,0.0516137140770164,0.0048362018706187,0.0737041942727321,0.0050492932794326,0.000276631753034,0.0002455740088488,0.0010451627279304,0.0063257069465301,0.0175541022203794,0.0005615208785319,0.0005060890174358,0.1051851595585412,visium/denisenko_2022,SP1
7,0.3685118965754366,0.2508070541450206,0.1164547271193404,0.009180392678242,0.0289677978664079,0.0067458851168896,0.0020179622266573,0.0007524374093835,0.0012926222203722,0.0089705435020627,0.0408879969376516,0.0011896532244703,0.0001748642210582,0.1640461667570063,visium/denisenko_2022,SP1
8,0.9205285745160394,0.0270865262142528,0.0145657548669047,0.0009079131335461,0.0059729759594005,0.0016516107400611,6.432416182970753e-05,0.0001441671770417,0.000301736829631,0.0029863770872695,0.0079152086239376,5.250584718426192e-05,0.0002574008803932,0.0175702300849569,visium/denisenko_2022,SP1
0,0.2251469880649212,0.5283517836040198,0.0247597418028403,0.0249279561784905,0.0151720844734595,0.0154764354426523,0.0080707464568829,0.0025276103762803,0.0069098855993128,0.0098248397536767,0.1181708548331828,0.0019365324132008,0.0001564322470722,0.0185681087540072,visium/denisenko_2022,SP2
