comparison,signature_source,n_signature_genes,n_marker_genes,n_overlap,overlap_pct,overlap_genes,dataset,sample
SNAI1_ac vs HVG,weights_json,109,2000,14,12.844036697247708,"APLN,CLDN3,EPPK1,ERBB4,ESM1,GAL3ST2,ITGB6,MUC16,MUC4,PRELP,SEMA3B,SMPDL3B,TNXB,TSPAN1",visium/yamamoto_2025,Pt1-1
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,244,3,2.752293577981652,"KIF1A,MUC16,PRELP",visium/yamamoto_2025,Pt1-2
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,390,4,3.669724770642202,"MUC16,PRELP,SLC15A3,SPRY1",visium/yamamoto_2025,Pt1-2
SNAI1_ac vs HVG,weights_json,109,2000,17,15.59633027522936,"ANGPTL4,APLN,CLDN3,EPPK1,ERBB4,ESM1,GGT5,IGFBP2,IL24,ITGB6,MUC16,PRELP,SEMA3B,SLC15A3,SORL1,SPRY1,TSPAN1",visium/yamamoto_2025,Pt1-2
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,236,2,1.834862385321101,"MUC16,SEMA3B",visium/yamamoto_2025,Pt1-3
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,339,4,3.669724770642202,"CLDN3,IGFBP2,MUC16,SEMA3B",visium/yamamoto_2025,Pt1-3
SNAI1_ac vs HVG,weights_json,109,2000,16,14.678899082568808,"ANGPTL4,CLDN3,CYP24A1,EPPK1,FRAS1,HSPG2,IGFBP2,ITGB6,MUC16,MUC4,NEGR1,SEMA3B,SLC15A3,SMPDL3B,SUSD2,TSPAN1",visium/yamamoto_2025,Pt1-3
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,209,4,3.669724770642202,"CLDN3,HSPG2,MUC16,NEGR1",visium/yamamoto_2025,Pt1-4
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,333,5,4.587155963302752,"CLDN3,HSPG2,IGFBP2,MUC16,PRELP",visium/yamamoto_2025,Pt1-4
SNAI1_ac vs HVG,weights_json,109,2000,21,19.26605504587156,"APLN,ARC,CLDN3,CSPG4,EPPK1,ERBB4,ESM1,FLG,FRAS1,GGT5,IGFBP2,KIF1A,MUC16,MUC4,NEGR1,PRELP,SLC15A3,SORL1,SPRY1,TNXB,TSPAN1",visium/yamamoto_2025,Pt1-4
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,241,2,1.834862385321101,"CLDN3,MUC16",visium/yamamoto_2025,Pt2-1
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,332,3,2.752293577981652,"CLDN3,EPPK1,MUC16",visium/yamamoto_2025,Pt2-1
SNAI1_ac vs HVG,weights_json,109,2000,17,15.59633027522936,"ANGPTL4,APLN,CLDN3,EPPK1,ERBB4,ESM1,FLG,GAL3ST2,GFRA2,HSPG2,ITGB6,KIF1A,MUC16,MUC4,SLC15A3,SPRY1,SUSD2",visium/yamamoto_2025,Pt2-1
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,237,3,2.752293577981652,"HSPG2,IGFBP2,MUC16",visium/yamamoto_2025,Pt2-2
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,348,6,5.504587155963304,"CLDN3,ERBB4,HSPG2,IGFBP2,MUC16,TSPAN1",visium/yamamoto_2025,Pt2-2
SNAI1_ac vs HVG,weights_json,109,2000,22,20.18348623853211,"ANGPTL4,CSPG4,CYP24A1,EPPK1,ERBB4,ESM1,GFRA2,GGT5,HSPG2,IGFBP2,ITGB6,MUC16,MUC4,NEGR1,PRELP,SEMA3B,SH3TC1,SLC15A3,SSTR1,SUSD2,TNXB,TSPAN1",visium/yamamoto_2025,Pt2-2
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,221,1,0.9174311926605504,CLDN3,visium/yamamoto_2025,Pt2-3
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,345,3,2.752293577981652,"CLDN3,CYP24A1,ITGB6",visium/yamamoto_2025,Pt2-3
SNAI1_ac vs HVG,weights_json,109,2000,16,14.678899082568808,"ANGPTL4,APLN,CLDN3,CYP24A1,ESM1,GAL3ST2,GGT5,IGFBP2,IL24,INSYN1,ITGB6,MAB21L4,MUC16,MUC4,SUSD2,TSPAN1",visium/yamamoto_2025,Pt2-3
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,216,4,3.669724770642202,"MUC16,SORL1,SPRY1,TNXB",visium/yamamoto_2025,Pt2-4
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,338,4,3.669724770642202,"LAMA5,MUC16,SPRY1,TNXB",visium/yamamoto_2025,Pt2-4
SNAI1_ac vs HVG,weights_json,109,2000,20,18.34862385321101,"CLDN3,CYP24A1,EPPK1,FLG,FRAS1,GAL3ST2,GGT5,IGFBP2,INSYN1,LAMA5,MUC16,NEGR1,PRELP,SEMA3B,SORL1,SPRY1,SSTR1,SUSD2,TNXB,TSPAN1",visium/yamamoto_2025,Pt2-4
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,228,6,5.504587155963304,"CLDN3,EPPK1,IGFBP2,MUC16,SEMA3B,SORL1",visium/ju_2024,CPS_OV19_LtOV1
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,348,5,4.587155963302752,"EPPK1,IGFBP2,MUC16,SEMA3B,SORL1",visium/ju_2024,CPS_OV19_LtOV1
SNAI1_ac vs HVG,weights_json,109,2000,14,12.844036697247708,"ANGPTL4,APLN,C6orf223,CSPG4,ESM1,FLG,GGT5,HSPG2,IGFBP2,KIF1A,MUC4,PRELP,SLC15A3,SORL1",visium/ju_2024,CPS_OV19_LtOV1
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,227,5,4.587155963302752,"ANGPTL4,ITGB6,LAMA5,MUC16,SEMA3B",visium/ju_2024,CPS_OV1RtOV3
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,334,7,6.422018348623854,"ANGPTL4,CLDN3,HSPG2,IGFBP2,ITGB6,LAMA5,MUC16",visium/ju_2024,CPS_OV1RtOV3
SNAI1_ac vs HVG,weights_json,109,2000,13,11.926605504587156,"ANGPTL4,APLN,CHMP1B-AS1,CSPG4,ESM1,FLG,FRAS1,IL24,ITGB6,MUC16,PRELP,TMEM132E,TSPAN1",visium/ju_2024,CPS_OV1RtOV3
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,222,0,0.0,,visium/ju_2024,CPS_OV20RtOV4
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,341,3,2.752293577981652,"IGFBP2,MUC16,SORL1",visium/ju_2024,CPS_OV20RtOV4
SNAI1_ac vs HVG,weights_json,109,2000,11,10.091743119266056,"ANGPTL4,APLN,ARC,CSPG4,ESM1,MUC16,MUC4,PCSK1N,SLC15A3,TNXB,TSPAN1",visium/ju_2024,CPS_OV20RtOV4
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,235,3,2.752293577981652,"HSPG2,IGFBP2,SORL1",visium/ju_2024,CPS_OV24RTOV4
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,343,4,3.669724770642202,"HSPG2,IGFBP2,MUC16,SORL1",visium/ju_2024,CPS_OV24RTOV4
SNAI1_ac vs HVG,weights_json,109,2000,19,17.431192660550458,"ANGPTL4,ARC,CHMP1B-AS1,CYP24A1,EPPK1,ESM1,FLG,GGT5,HSPG2,IGFBP2,INSYN1,MUC16,MUC4,PCSK1N,PRELP,SLC15A3,SNAI1,TNXB,TSPAN1",visium/ju_2024,CPS_OV24RTOV4
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,210,0,0.0,,visium/ju_2024,CPS_OV34RtOV1
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,289,1,0.9174311926605504,IGFBP2,visium/ju_2024,CPS_OV34RtOV1
SNAI1_ac vs HVG,weights_json,109,2000,8,7.339449541284404,"ANGPTL4,APLN,CLDN3,CSPG4,ESM1,ITGB6,MUC16,PRELP",visium/ju_2024,CPS_OV34RtOV1
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,215,2,1.834862385321101,"HSPG2,SEMA3B",visium/ju_2024,CPS_OV5LtOV4
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,324,3,2.752293577981652,"HSPG2,MUC16,SEMA3B",visium/ju_2024,CPS_OV5LtOV4
SNAI1_ac vs HVG,weights_json,109,2000,13,11.926605504587156,"ANGPTL4,APLN,CSPG4,ESM1,GGT5,HSPG2,IGFBP2,IL24,ITGB6,MUC4,SEMA3B,SUSD2,TNXB",visium/ju_2024,CPS_OV5LtOV4
SNAI1_ac vs SpaGCN_5_markers,weights_json,109,222,3,2.752293577981652,"CLDN3,HSPG2,IGFBP2",visium/ju_2024,CPS_OV71_1
SNAI1_ac vs SpaGCN_9_markers,weights_json,109,324,4,3.669724770642202,"CLDN3,HSPG2,IGFBP2,SORL1",visium/ju_2024,CPS_OV71_1
SNAI1_ac vs HVG,weights_json,109,2000,9,8.256880733944955,"ANGPTL4,ARC,CSPG4,ESM1,HSPG2,IGFBP2,ITGB6,LINC02802,TSPAN1",visium/ju_2024,CPS_OV71_1
