domain,mean,std,median,count,dataset,sample
0,-0.367287038360642,0.9855449131264356,-0.3130686746132745,504.0,visium/denisenko_2022,SP1
1,-0.2334471205420008,1.06648529042144,-0.2242410385190171,388.0,visium/denisenko_2022,SP1
2,0.4245007332221708,1.0038783528333124,0.4506915397694083,200.0,visium/denisenko_2022,SP1
3,-0.1729131696805886,0.816704052146007,-0.2059196014237712,312.0,visium/denisenko_2022,SP1
4,0.2381769484635529,0.774296102600354,0.2324033718871301,224.0,visium/denisenko_2022,SP1
5,0.1482565400927977,0.9969590675836664,0.1620294072533951,327.0,visium/denisenko_2022,SP1
6,0.0531542319228988,1.0488433068588645,0.0313888641467231,325.0,visium/denisenko_2022,SP1
7,0.3965472907744485,0.9761269074937056,0.4341040150960598,220.0,visium/denisenko_2022,SP1
8,0.6753164458099258,1.0364599316476173,0.6907704193375573,49.0,visium/denisenko_2022,SP1
0,0.0492866336075842,0.875626388534791,0.031170989790639,259.0,visium/denisenko_2022,SP2
1,0.6748338451742292,0.795804064671946,0.6371883700545667,169.0,visium/denisenko_2022,SP2
2,-0.0676108233910341,0.9089488783069,-0.111065143809896,285.0,visium/denisenko_2022,SP2
3,-0.2580007439291477,0.7678239881688579,-0.3611502773959444,311.0,visium/denisenko_2022,SP2
4,1.1541719353538076,0.9474930214388452,1.2109988684159358,241.0,visium/denisenko_2022,SP2
5,-0.4583112744867866,0.9974919219836949,-0.5049215105894814,211.0,visium/denisenko_2022,SP2
6,-0.3825020816577404,0.7638318792549577,-0.4729228718075025,155.0,visium/denisenko_2022,SP2
7,0.2412592371477868,0.7823278903383076,0.2729134731498179,215.0,visium/denisenko_2022,SP2
8,-0.1539404264513071,0.7175369339385845,-0.2638904036647851,80.0,visium/denisenko_2022,SP2
0,-0.2535139445180369,1.0553249576673964,-0.2875805611225949,249.0,visium/denisenko_2022,SP3
1,-0.0362842741957304,1.2076321218693686,0.240821597257214,173.0,visium/denisenko_2022,SP3
2,-0.0348720356955677,0.9176670622629792,-0.0678291437605364,195.0,visium/denisenko_2022,SP3
3,-0.059456942063245,0.8693497705468597,-0.0139484657779345,175.0,visium/denisenko_2022,SP3
4,-0.5632271763405956,0.8638376858164768,-0.5599154505710422,162.0,visium/denisenko_2022,SP3
5,0.6045650889790015,0.7866280329099933,0.6768589704721878,137.0,visium/denisenko_2022,SP3
6,0.49618675028667,0.9956614348037032,0.5036377389566449,164.0,visium/denisenko_2022,SP3
7,0.0362724760572468,0.7797931962718017,0.0400993985049303,150.0,visium/denisenko_2022,SP3
8,-0.011131810303855,1.0307756555128007,0.1657582603600909,87.0,visium/denisenko_2022,SP3
0,-0.2911339265371036,0.7835920555034224,-0.3171539586541357,859.0,visium/denisenko_2022,SP4
1,0.3251374885229575,0.8161721468692695,0.369106781988435,509.0,visium/denisenko_2022,SP4
2,0.2381101806178482,1.0847221757961554,0.2516415732891424,397.0,visium/denisenko_2022,SP4
3,0.995924528285132,0.9258348872583042,1.0303215032126822,265.0,visium/denisenko_2022,SP4
4,-0.048360823102408,1.5699786381956546,0.0213244360176729,238.0,visium/denisenko_2022,SP4
5,-0.3153977045982136,1.0285297982740855,-0.3466122525339443,261.0,visium/denisenko_2022,SP4
6,-0.5363493195042442,0.7062915484925708,-0.4402362163236661,171.0,visium/denisenko_2022,SP4
7,0.4249299402524532,1.211080504961798,0.217237561210562,125.0,visium/denisenko_2022,SP4
8,-0.9004359585271665,1.1441181360877548,-0.356432502966216,19.0,visium/denisenko_2022,SP4
0,-0.5677261032308231,0.8344383377660569,-0.5770695582269857,479.0,visium/denisenko_2022,SP5
1,0.0694370960483377,0.6562340681668646,0.06057164082557,295.0,visium/denisenko_2022,SP5
2,0.3491600379552584,0.7443728704074046,0.4885342508969551,237.0,visium/denisenko_2022,SP5
3,0.0147659863521231,0.8956669884959121,-0.0697032703472757,344.0,visium/denisenko_2022,SP5
4,0.0817403837893346,0.9352354422016058,0.1385690326250668,218.0,visium/denisenko_2022,SP5
5,0.5928633517629257,1.2680908382348872,0.5231902996687056,149.0,visium/denisenko_2022,SP5
6,-0.0751242871318067,1.1752009445208262,-0.2113792601153797,149.0,visium/denisenko_2022,SP5
7,2.225969167467261,1.6218017066298285,2.093183550991932,97.0,visium/denisenko_2022,SP5
8,0.6087886335859225,0.5896007417609893,0.7040365794363614,20.0,visium/denisenko_2022,SP5
0,0.0935496565889965,0.7445885663637626,0.0463227668924747,358.0,visium/denisenko_2022,SP6
1,-0.1556926423617328,0.8645702249838012,-0.1422984872901954,290.0,visium/denisenko_2022,SP6
2,-0.7725313009483836,0.7535676999657269,-0.7919297679605063,276.0,visium/denisenko_2022,SP6
3,0.9691763542593332,1.2785278623179952,0.6765937598380982,204.0,visium/denisenko_2022,SP6
4,-0.7673583078620546,0.9524565923981796,-0.8054741058259586,189.0,visium/denisenko_2022,SP6
5,0.0919872893912583,0.7805761283541947,0.0835564709201784,174.0,visium/denisenko_2022,SP6
6,1.675995844331842,1.16280229524128,1.6207853021302698,135.0,visium/denisenko_2022,SP6
7,0.1937798347579868,0.4823796545839084,0.190915440888416,66.0,visium/denisenko_2022,SP6
8,1.271974312674099,0.8577631665754081,1.272304508006692,66.0,visium/denisenko_2022,SP6
0,-0.5285460140944357,0.8505853854971708,-0.5518315325875035,616.0,visium/denisenko_2022,SP7
1,-0.0630803344395004,0.8492291454827094,-0.011281779244932,783.0,visium/denisenko_2022,SP7
2,0.5292045397287132,0.9342812071127689,0.5969557597274963,679.0,visium/denisenko_2022,SP7
3,0.0153958113451004,1.0731753417525258,0.0306493772022985,265.0,visium/denisenko_2022,SP7
4,0.0739778182140037,0.9052299069951232,0.1083984350965486,337.0,visium/denisenko_2022,SP7
5,0.5053067027941534,1.2079298777927547,0.438675138565043,255.0,visium/denisenko_2022,SP7
7,-0.5178983008390741,0.8584414718050833,-0.5694756252832027,449.0,visium/denisenko_2022,SP7
8,0.8083886920290471,0.749241743886739,0.7964305907875331,38.0,visium/denisenko_2022,SP7
0,-0.4358464348029701,1.0288169076576374,-0.355930238440325,655.0,visium/denisenko_2022,SP8
1,-0.3769940103468495,0.8494554317464165,-0.4007952781396295,586.0,visium/denisenko_2022,SP8
2,0.5476951172380353,1.0086540838835647,0.628156374872361,379.0,visium/denisenko_2022,SP8
3,0.4062751548736662,0.9357941670398148,0.4688327643687697,264.0,visium/denisenko_2022,SP8
4,-0.0093860169992008,0.8952826635204374,0.0748746968392941,181.0,visium/denisenko_2022,SP8
5,0.986226250036914,0.6637606586465772,1.1001587608111665,257.0,visium/denisenko_2022,SP8
6,-0.104714882129932,0.7828175302997671,-0.1315505598290204,182.0,visium/denisenko_2022,SP8
7,-0.0069556408333927,0.8789242737850093,-0.0839384202796146,331.0,visium/denisenko_2022,SP8
8,-0.6642112988343567,0.9256887040384684,-0.7086992494145867,198.0,visium/denisenko_2022,SP8
0,-0.6006377254526263,0.5707871214037598,-0.6006269693610384,200.0,visium/yamamoto_2025,Pt1-1
1,0.5768749470980395,0.8240955104062222,0.6420889132314516,222.0,visium/yamamoto_2025,Pt1-1
2,-0.5293389191027039,0.940404235805386,-0.5622738199036823,158.0,visium/yamamoto_2025,Pt1-1
3,0.6015136684211979,0.8034059103028449,0.7250404710070852,285.0,visium/yamamoto_2025,Pt1-1
4,0.1909115834948138,0.6601702472473857,0.1743133922633612,182.0,visium/yamamoto_2025,Pt1-1
5,-0.1563088779052303,0.8708495824724811,-0.2931380979354298,197.0,visium/yamamoto_2025,Pt1-1
6,0.1748793910870722,0.6991233316725406,0.1717180653036378,136.0,visium/yamamoto_2025,Pt1-1
7,-1.2034053276820087,0.8289654876092667,-1.3181137139596335,60.0,visium/yamamoto_2025,Pt1-1
8,-0.8085558129361682,1.070573354684211,-0.7166687694730229,85.0,visium/yamamoto_2025,Pt1-1
0,0.5290235121931293,0.625279049469346,0.4796340460912052,159.0,visium/yamamoto_2025,Pt1-2
1,-0.3154885781285585,0.6575835189893471,-0.2337651770918374,180.0,visium/yamamoto_2025,Pt1-2
2,-0.4604492501612043,0.8267505156081455,-0.5094646680496978,117.0,visium/yamamoto_2025,Pt1-2
3,-0.2807740786265508,1.108489207163554,-0.0175352323604512,99.0,visium/yamamoto_2025,Pt1-2
