between_domain_var,mean_within_var,ratio,dataset,sample
0.1049141120578878,0.9448971061422186,0.1110323138634917,visium/denisenko_2022,SP1
0.2475969520629572,0.7132039890290158,0.3471614795649777,visium/denisenko_2022,SP2
0.1107955547304229,0.9107649724511406,0.1216510934014502,visium/denisenko_2022,SP3
0.2909538980928411,1.1234691600584112,0.2589780907539232,visium/denisenko_2022,SP4
0.5476368717126648,1.036103065879664,0.5285544360856751,visium/denisenko_2022,SP5
0.6532456323660756,0.8157134657456411,0.8008273245421367,visium/denisenko_2022,SP6
0.2076923162856979,0.8807616316435682,0.2358099045460554,visium/denisenko_2022,SP7
0.2454482094520564,0.7952725050167986,0.3086340944817045,visium/denisenko_2022,SP8
0.3541240995568069,0.6723378669557216,0.526705570162581,visium/yamamoto_2025,Pt1-1
0.3446575193499161,0.8034433385172479,0.428975514298221,visium/yamamoto_2025,Pt1-2
0.6462041116537189,1.2648781672487528,0.5108824931805749,visium/yamamoto_2025,Pt1-3
0.3240324900456497,0.9623795183354696,0.3366992791015502,visium/yamamoto_2025,Pt1-4
0.3032496576652476,0.9634273931766264,0.3147612988928709,visium/yamamoto_2025,Pt2-1
0.0882502919013538,0.9770793406667324,0.0903204972496238,visium/yamamoto_2025,Pt2-2
0.2230468551588839,1.1486450688395269,0.1941825731983751,visium/yamamoto_2025,Pt2-3
0.1988716661348875,0.7683660909388783,0.2588241054363593,visium/yamamoto_2025,Pt2-4
0.2196141460120811,1.0242344840671451,0.2144178402781486,visium/ju_2024,CPS_OV19_LtOV1
0.0549668034139465,1.0234857012272665,0.0537054922682706,visium/ju_2024,CPS_OV1RtOV3
0.052947003320952,1.0516413480349742,0.050347015567508,visium/ju_2024,CPS_OV20RtOV4
0.4178468819864173,0.7759396241642718,0.5385043745335993,visium/ju_2024,CPS_OV24RTOV4
0.0834624360468869,0.9689724230816092,0.0861349962689883,visium/ju_2024,CPS_OV34RtOV1
0.1489055976746781,0.9404583340837268,0.1583330087874168,visium/ju_2024,CPS_OV5LtOV4
0.2640027878771153,1.0338409100331702,0.2553611346920339,visium/ju_2024,CPS_OV71_1
