review_role,selected_k,analysis_tier,feature_method,sample,dataset,relationship,stratum,variant,variant_label,spearman_rho,spearman_pvalue,n_spots
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.17725489775571446,0.0005936523727729597,372
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.2273491546253234,9.497113687790428e-06,372
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_smooth_corrected,Smoothed corrected,-0.23282468619297508,2.2826888899840502e-08,563
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.13312017242592034,0.001547075922772966,563
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.04453382898898563,0.29149086100242133,563
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_total_counts,all,,,0.36148385040457137,1.5688398426137595e-60,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_n_genes_by_counts,all,,,0.33828430141307664,8.99994375735646e-53,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_n_genes,all,,,0.33828430141307664,8.99994375735646e-53,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_n_counts,all,,,0.36148385040457137,1.5688398426137595e-60,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,isodepth_vs_Malignant,all,,,0.27323610515451474,2.531010035091236e-34,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_corrected,Smoothed corrected vs Unsmoothed corrected,0.31278584043610314,5.592354559880985e-45,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Smoothed corrected vs Unsmoothed uncorrected,0.28155834062602336,1.9979519712997694e-36,1926
usable_domain_size_caveat,4,primary_glmpca,glmpca,SP2,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_unsmoothed_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Unsmoothed corrected vs Unsmoothed uncorrected,0.9370493174183703,0.0,1926
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,all,snai1ac_em_smooth_corrected,Smoothed corrected,0.08383035617388007,0.0011908674855398294,1492
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.04550046824693865,0.07892514896047226,1492
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.3943253157843911,1.0901482179529357e-56,1492
