"comparison","gene","log2FC","padj","direction"
"PEO4_SNAI1_vs_GFP","LDLRAD4",3.42815630184756,1.40493974958583e-07,"UP"
"PEO4_SNAI1_vs_GFP","ST8SIA5",3.24846320312465,2.7633635308039e-06,"UP"
"PEO4_SNAI1_vs_GFP","NGFR",2.54151245908624,0.000155405380888267,"UP"
"PEO4_SNAI1_vs_GFP","GCNT4",7.0879564671906,0,"UP"
"PEO4_SNAI1_vs_GFP","WNT6",2.16606375197592,0.000352828530283571,"UP"
"PEO4_SNAI1_vs_GFP","SOX6",2.39212489423336,0.00516674986290544,"UP"
"PEO4_SNAI1_vs_GFP","KCTD19",3.28399332139386,0.006740262454335,"UP"
"PEO4_SNAI1_vs_GFP","TRIL",3.85705835736749,0,"UP"
"PEO4_SNAI1_vs_GFP","RP11-350J20.15",6.30353298694602,4.57552858955215e-05,"UP"
"PEO4_SNAI1_vs_GFP","SPTBN2",-1.89541782645928,0.0065308743096914,"DOWN"
"PEO4_SNAI1_vs_GFP","RP1-77N19.1",3.34825881646379,0.000248396013408667,"UP"
"PEO4_SNAI1_vs_GFP","MUC13",5.52644120872561,0.0145544361734114,"UP"
"PEO4_SNAI1_vs_GFP","COMP",4.58835510925614,0.000788041004393205,"UP"
"PEO4_SNAI1_vs_GFP","INHBA",-4.90261759333399,0,"DOWN"
"PEO4_SNAI1_vs_GFP","SLC14A2",5.89971080152599,5.28064364722186e-14,"UP"
"PEO4_SNAI1_vs_GFP","FOXF2",5.72398662071823,0.00409400803142915,"UP"
"PEO4_SNAI1_vs_GFP","GLDC",-2.42136000375291,8.07497131730116e-06,"DOWN"
"PEO4_SNAI1_vs_GFP","UNC5B",2.16106195310237,0.00104435358703578,"UP"
"PEO4_SNAI1_vs_GFP","PRR15L",-3.250371370933,2.33979700907393e-07,"DOWN"
"PEO4_SNAI1_vs_GFP","DCHS1",3.09289367627529,3.00420667914268e-07,"UP"
"PEO4_SNAI1_vs_GFP","PLEKHB1",-3.75520237369642,5.28064364722186e-14,"DOWN"
"PEO4_SNAI1_vs_GFP","GGT6",-2.99299823755518,8.52507820590444e-07,"DOWN"
"PEO4_SNAI1_vs_GFP","COMETT",3.6201928364821,0.00234126137324327,"UP"
"PEO4_SNAI1_vs_GFP","SULT1E1",5.59533927066961,0.00944384484397583,"UP"
"PEO4_SNAI1_vs_GFP","FST",6.39671945709505,0,"UP"
"PEO4_SNAI1_vs_GFP","ADAMTS7",2.1952525918356,0.000243968874142139,"UP"
"PEO4_SNAI1_vs_GFP","AC006128.2",-6.41140417843189,1.34187841694194e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","RP11-949J7.8",-6.92675593993901,6.04442934355148e-08,"DOWN"
"PEO4_SNAI1_vs_GFP","SLC6A15",-2.8572533775879,7.49575727462473e-09,"DOWN"
"PEO4_SNAI1_vs_GFP","RND1",2.9472217145233,2.14350236206263e-05,"UP"
"PEO4_SNAI1_vs_GFP","PTH1R",4.11747486944332,3.13394720802514e-13,"UP"
"PEO4_SNAI1_vs_GFP","ROR2",4.5697021867164,4.92010630710936e-06,"UP"
"PEO4_SNAI1_vs_GFP","PRR36",-3.36785240257105,2.89192896209621e-11,"DOWN"
"PEO4_SNAI1_vs_GFP","A2M",3.6201928364821,0.00234126137324327,"UP"
"PEO4_SNAI1_vs_GFP","TENT5C",2.30871588531281,0.00821475985803949,"UP"
"PEO4_SNAI1_vs_GFP","PTAFR",-1.9217980958106,0.00640389904936715,"DOWN"
"PEO4_SNAI1_vs_GFP","FAM43B",6.1009323309614,0.000248396013408667,"UP"
"PEO4_SNAI1_vs_GFP","NME3",-1.79566285963594,0.0234638181689878,"DOWN"
"PEO4_SNAI1_vs_GFP","ADAMTS5",6.23652377490027,8.16237542239199e-05,"UP"
"PEO4_SNAI1_vs_GFP","IL20RA",3.22592142260363,7.7760524230523e-10,"UP"
"PEO4_SNAI1_vs_GFP","MAMDC2",3.2808522064178,7.98511413485715e-12,"UP"
