"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","comparison","direction","database"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","6/153","93/3549",0.210645991698132,0.412232661765616,0.325446838236013,"GSG1/GAD1/SCG3/CNIH2/SHE/TLE4",6,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","9/153","154/3549",0.217567238154075,0.412232661765616,0.325446838236013,"MAFF/OLR1/SCG3/SERPINB2/HPCAL4/ZEB1/SERPINE1/DPP4/COL4A2",9,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","9/153","166/3549",0.286057132966178,0.51490283933912,0.406502241583515,"ATOH8/GAD1/TGFB2/APOE/SERPINE1/PAPSS2/IL1R1/PYCR1/BCAT1",9,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","3/153","53/3549",0.402084575914829,0.689287844425421,0.54417461402007,"A2M/ACVRL1/IL1R1",3,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","6/153","124/3549",0.446727618645,0.73100883051,0.577112234613158,"ICAM1/IL11/TGFB2/F2R/INHBB/BCAT1",6,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","4/153","85/3549",0.503089950849286,0.787445140459752,0.621667216152436,"MAF/ADAMTS1/ARID5B/SELENOP",4,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","6/153","171/3549",0.756846746285767,0.998724144667252,0.788466430000462,"BCL11B/PAPSS2/INHBB/DLC1/GFRA1/TGM2",6,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","1/153","36/3549",0.796987214199734,0.998724144667252,0.788466430000462,"GAS1",1,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","4/153","132/3549",0.830289561022377,0.998724144667252,0.788466430000462,"ICAM1/NPTXR/BMP2/RHOB",4,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","5/153","170/3549",0.866975038085408,0.998724144667252,0.788466430000462,"VCAN/TGFBI/GPC4/CHST2/SDC2",5,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","1/153","77/3549",0.967642352093833,0.998724144667252,0.788466430000462,"NGF",1,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","3/153","163/3549",0.975690089186917,0.998724144667252,0.788466430000462,"F2R/BMP2/INHBB",3,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","3/153","169/3549",0.980314180623295,0.998724144667252,0.788466430000462,"ITIH5/APOE/COL4A1",3,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","3/153","172/3549",0.982301108467352,0.998724144667252,0.788466430000462,"TNNC1/CXCL14/PAPSS2",3,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","1/153","98/3549",0.987476105482297,0.998724144667252,0.788466430000462,"NR3C2",1,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
