level,group,final_label,set_type,rank_within_set,gene,n_programs_in_group,recurrence_count_in_MP,recurrence_fraction_in_MP,mean_loading_in_MP,median_loading_in_MP,recurrence_count_outside_MP,max_recurrence_fraction_other_MP,specificity_delta,specificity_ratio
final_mp,MP1,angiogenic/vascular,strict,1,COL4A1,7,7,1.0,0.005498432542201742,0.005699734304608,6,0.3333333333333333,0.6666666666666667,2.9999910000270003
final_mp,MP1,angiogenic/vascular,strict,2,VWF,7,7,1.0,0.004551651579618286,0.0054375305416918,6,0.3333333333333333,0.6666666666666667,2.9999910000270003
final_mp,MP1,angiogenic/vascular,strict,3,ESM1,7,7,1.0,0.003630027948887129,0.003277418228315,1,0.16666666666666666,0.8333333333333334,5.999964000215999
final_mp,MP1,angiogenic/vascular,strict,4,PDGFRB,7,7,1.0,0.003547654122633371,0.0042029549679748,6,0.23076923076923078,0.7692307692307692,4.3333145556369255
final_mp,MP1,angiogenic/vascular,strict,5,COL4A2,7,6,0.8571428571428571,0.005217480587207734,0.0059963579637307505,4,0.3333333333333333,0.5238095238095237,2.571420857166
final_mp,MP1,angiogenic/vascular,strict,6,IGFBP7,7,6,0.8571428571428571,0.00484771282928905,0.0042333621085036,14,0.8333333333333334,0.023809523809523725,1.0285701942871952
final_mp,MP1,angiogenic/vascular,strict,7,PLVAP,7,6,0.8571428571428571,0.004763221301157717,0.004743521269033451,3,0.07692307692307693,0.7802197802197801,11.142712287597403
final_mp,MP1,angiogenic/vascular,strict,8,A2M,7,6,0.8571428571428571,0.0044243994968254175,0.0045038464360834,7,0.5,0.3571428571428571,1.7142822857211426
final_mp,MP1,angiogenic/vascular,strict,9,SPARC,7,6,0.8571428571428571,0.0041841579060440505,0.00435397215379695,22,1.0,-0.1428571428571429,0.8571420000008572
final_mp,MP1,angiogenic/vascular,strict,10,RGS5,7,6,0.8571428571428571,0.0041246093111355665,0.00417484324896875,1,0.16666666666666666,0.6904761904761905,5.142826285899427
final_mp,MP1,angiogenic/vascular,strict,11,ESAM,7,6,0.8571428571428571,0.0039011351277824665,0.00425901439919215,1,0.0,0.8571428571428571,857142.8571428572
final_mp,MP1,angiogenic/vascular,strict,12,ENG,7,6,0.8571428571428571,0.0036959316745805,0.00338505352009145,7,1.0,-0.1428571428571429,0.8571420000008572
final_mp,MP1,angiogenic/vascular,strict,13,CDH5,7,6,0.8571428571428571,0.003666203400159084,0.0040511468870605,0,0.0,0.8571428571428571,857142.8571428572
final_mp,MP1,angiogenic/vascular,strict,14,PECAM1,7,6,0.8571428571428571,0.0033008839493861666,0.0035145980275576,2,0.0,0.8571428571428571,857142.8571428572
final_mp,MP1,angiogenic/vascular,strict,15,CLEC14A,7,6,0.8571428571428571,0.003168519838711884,0.0031853344563000504,2,0.0,0.8571428571428571,857142.8571428572
final_mp,MP1,angiogenic/vascular,strict,16,SPARCL1,7,5,0.7142857142857143,0.004064831491481661,0.0052114047463241,7,0.5,0.2142857142857143,1.4285685714342857
final_mp,MP1,angiogenic/vascular,strict,17,MCAM,7,5,0.7142857142857143,0.00400679830657076,0.0047295988697579,3,0.07692307692307693,0.6373626373626373,9.285593572997836
final_mp,MP1,angiogenic/vascular,strict,18,CD248,7,5,0.7142857142857143,0.0038823911948848407,0.00390005504587,1,0.0,0.7142857142857143,714285.7142857143
final_mp,MP1,angiogenic/vascular,strict,19,LAMB1,7,5,0.7142857142857143,0.0034715137568504797,0.0036471733965444,2,0.16666666666666666,0.5476190476190477,4.285688571582856
final_mp,MP1,angiogenic/vascular,strict,20,LAMA4,7,5,0.7142857142857143,0.0034643893627688193,0.0039989487625484,2,0.07692307692307693,0.6373626373626373,9.285593572997836
final_mp,MP1,angiogenic/vascular,strict,21,ADGRF5,7,5,0.7142857142857143,0.0033885271843717398,0.0033267523804122,0,0.0,0.7142857142857143,714285.7142857143
final_mp,MP1,angiogenic/vascular,strict,22,IGFBP3,7,5,0.7142857142857143,0.0029293634418545,0.002115813315783,7,0.3333333333333333,0.380952380952381,2.142850714305
final_mp,MP1,angiogenic/vascular,strict,23,CD93,7,5,0.7142857142857143,0.00285701275919844,0.0027943034847936,5,0.16666666666666666,0.5476190476190477,4.285688571582856
final_mp,MP1,angiogenic/vascular,strict,24,ADGRL4,7,4,0.5714285714285714,0.004352563737623375,0.00412876144290605,0,0.0,0.5714285714285714,571428.5714285715
final_mp,MP1,angiogenic/vascular,strict,25,ITGA1,7,4,0.5714285714285714,0.0041652501963559,0.004387059710748049,0,0.0,0.5714285714285714,571428.5714285715
final_mp,MP1,angiogenic/vascular,strict,26,NID1,7,4,0.5714285714285714,0.00416415739844485,0.0041460685438027,0,0.0,0.5714285714285714,571428.5714285715
