level,group,final_label,set_type,library,term_id,term,overlap_k,signature_size_n,term_size_K,universe_N,fold_enrichment,pvalue,overlap_genes,n_overlap_specific,n_overlap_shared,frac_overlap_specific,mean_overlap_specificity_delta,padj,driven_by_shared_only
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0051851,modulation by host of symbiont process,1,39,88,27377,7.976981351981352,0.11807651630039002,APOE,0,1,0.0,-0.5,0.17641768330076438,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0001938,positive regulation of endothelial cell proliferation,1,39,89,27377,7.887352348026504,0.11933691484428265,HSPG2,0,1,0.0,-0.0714285714285714,0.17733443985442182,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0009953,dorsal/ventral pattern formation,1,39,89,27377,7.887352348026504,0.11933691484428265,NBL1,0,1,0.0,0.0833333333333333,0.17733443985442182,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0016441,post-transcriptional gene silencing,1,39,89,27377,7.887352348026504,0.11933691484428265,MEG3,1,0,1.0,0.6666666666666666,0.17733443985442182,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0033273,response to vitamin,1,39,89,27377,7.887352348026504,0.11933691484428265,COL1A1,0,1,0.0,-0.1666666666666666,0.17733443985442182,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0033627,cell adhesion mediated by integrin,1,39,89,27377,7.887352348026504,0.11933691484428265,EMILIN1,1,0,1.0,0.5,0.17733443985442182,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0045824,negative regulation of innate immune response,1,39,89,27377,7.887352348026504,0.11933691484428265,A2M,0,1,0.0,-0.3571428571428571,0.17733443985442182,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0048880,sensory system development,2,39,420,27377,3.3427350427350424,0.12021200804971345,SERPINF1;C1QA,0,1,0.0,0.10897435897435895,0.17847360400882548,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0046889,positive regulation of lipid biosynthetic process,1,39,90,27377,7.7997150997151,0.12059555821576716,APOE,0,1,0.0,-0.5,0.17888159897649863,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0002220,innate immune response activating cell surface receptor signaling pathway,1,39,91,27377,7.714003944773175,0.12185244879478245,COLEC11,1,0,1.0,0.6666666666666666,0.179934720168238,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0002292,T cell differentiation involved in immune response,1,39,91,27377,7.714003944773175,0.12185244879478245,LGALS1,0,0,0.0,0.205128205128205,0.179934720168238,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0019915,lipid storage,1,39,91,27377,7.714003944773175,0.12185244879478245,APOE,0,1,0.0,-0.5,0.179934720168238,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0042632,cholesterol homeostasis,1,39,91,27377,7.714003944773175,0.12185244879478245,APOE,0,1,0.0,-0.5,0.179934720168238,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0045185,maintenance of protein location,1,39,91,27377,7.714003944773175,0.12185244879478245,NBL1,0,1,0.0,0.0833333333333333,0.179934720168238,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0016239,positive regulation of macroautophagy,1,39,92,27377,7.630156075808249,0.12310758895812635,DCN,0,0,0.0,0.1538461538461538,0.18081427128224808,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0043535,regulation of blood vessel endothelial cell migration,1,39,92,27377,7.630156075808249,0.12310758895812635,APOE,0,1,0.0,-0.5,0.18081427128224808,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0045666,positive regulation of neuron differentiation,1,39,92,27377,7.630156075808249,0.12310758895812635,NBL1,0,1,0.0,0.0833333333333333,0.18081427128224808,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0055092,sterol homeostasis,1,39,92,27377,7.630156075808249,0.12310758895812635,APOE,0,1,0.0,-0.5,0.18081427128224808,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0106027,neuron projection organization,1,39,92,27377,7.630156075808249,0.12310758895812635,APOE,0,1,0.0,-0.5,0.18081427128224808,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0016032,viral process,2,39,426,27377,3.2956542674852534,0.1230340304859385,LGALS1;APOE,0,1,0.0,-0.1474358974358975,0.18081427128224808,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0060291,long-term synaptic potentiation,1,39,93,27377,7.5481113868210645,0.12436098107946163,APOE,0,1,0.0,-0.5,0.1822995286801726,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0006869,lipid transport,2,39,429,27377,3.272607734146195,0.12445128918409351,LRP1;APOE,1,1,0.5,0.011904761904761862,0.1822995286801726,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0007005,mitochondrion organization,2,39,429,27377,3.272607734146195,0.12445128918409351,DCN;COL6A1,0,1,0.0,-0.05769230769230774,0.1822995286801726,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0006721,terpenoid metabolic process,1,39,94,27377,7.467812329514457,0.12561262752931876,LRP1,1,0,1.0,0.5238095238095237,0.18367357536509277,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0042542,response to hydrogen peroxide,1,39,94,27377,7.467812329514457,0.12561262752931876,COL1A1,0,1,0.0,-0.1666666666666666,0.18367357536509277,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0006096,glycolytic process,1,39,95,27377,7.389203778677463,0.12686253067510028,COL6A1,0,1,0.0,-0.2692307692307693,0.18500785723452126,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0098869,cellular oxidant detoxification,1,39,95,27377,7.389203778677463,0.12686253067510028,APOE,0,1,0.0,-0.5,0.18500785723452126,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:1903035,negative regulation of response to wounding,1,39,95,27377,7.389203778677463,0.12686253067510028,APOE,0,1,0.0,-0.5,0.18500785723452126,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0003012,muscle system process,2,39,436,27377,3.2200658668548576,0.12777401802325258,IGFBP5;COL6A1,1,1,0.5,0.15705128205128205,0.1861720634616922,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0006112,energy reserve metabolic process,1,39,96,27377,7.312232905982905,0.1281106928810848,COL6A1,0,1,0.0,-0.2692307692307693,0.18633252854941154,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0043648,dicarboxylic acid metabolic process,1,39,96,27377,7.312232905982905,0.1281106928810848,COL6A1,0,1,0.0,-0.2692307692307693,0.18633252854941154,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0003073,regulation of systemic arterial blood pressure,1,39,97,27377,7.236849061591329,0.1293571165084313,ENG,0,0,0.0,0.1428571428571429,0.18764766900914415,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0046032,ADP catabolic process,1,39,97,27377,7.236849061591329,0.1293571165084313,COL6A1,0,1,0.0,-0.2692307692307693,0.18764766900914415,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0050764,regulation of phagocytosis,1,39,97,27377,7.236849061591329,0.1293571165084313,COLEC11,1,0,1.0,0.6666666666666666,0.18764766900914415,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0060996,dendritic spine development,1,39,98,27377,7.163003663003663,0.13060180391518234,APOE,0,1,0.0,-0.5,0.18917387342837416,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0048732,gland development,2,39,442,27377,3.1763545654948366,0.1306392220149745,SERPINF1;IGFBP5,1,0,0.5,0.40064102564102566,0.18917387342837416,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0002312,B cell activation involved in immune response,1,39,99,27377,7.09065009065009,0.13184475745626928,LGALS1,0,0,0.0,0.205128205128205,0.19008293252897718,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0019364,pyridine nucleotide catabolic process,1,39,99,27377,7.09065009065009,0.13184475745626928,COL6A1,0,1,0.0,-0.2692307692307693,0.19008293252897718,True
