comparison_variable,coefficient,p_value,difference,color,contrast_id,target_family,plot_scope,spottedpy_helper,hallmark_group,contrast_label,bh_family,q_value_bh_within_contrast_family_scope,significant_raw_p05,significant_bh_q05,distance_effect_direction,distance_effect_note
KRAS SIGNALING UP,,0.4469604660266062,0.98254140793244,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.5623051024205692,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
HYPOXIA,,0.8641655926620115,0.2246579822661868,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.9504065530843326,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
NOTCH SIGNALING,,0.1797423399680369,-1.4630066093879155,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.3118323824999614,False,False,SNAI1ac_hot_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
IL6 JAK STAT3 SIGNALING,,0.9673933720016776,0.0489530764223546,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.9878388109621358,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
APICAL JUNCTION,,0.8772983566932302,0.254901366742233,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.9504065530843326,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
TNFA SIGNALING VIA NFKB,,0.3076967004604929,1.7401755040359277,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.4168496270764801,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
HEDGEHOG SIGNALING,,0.3099651073132801,1.1568074798521226,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.4168496270764801,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
REACTIVE OXYGEN SPECIES PATHWAY,,0.2257802759684996,-1.4293041780602287,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.3386704139527494,False,False,SNAI1ac_hot_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
KRAS SIGNALING DN,,0.1428627449727917,1.0956469346622593,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.2653165263780417,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
WNT BETA CATENIN SIGNALING,,0.9245656174504384,0.1025778539163365,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.9745421373126244,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
EPITHELIAL MESENCHYMAL TRANSITION,,0.1930220500945462,2.062222876927036,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.3136608314036376,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
ANGIOGENESIS,,0.074289511934631,2.057496200080116,#DED9A9,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.181080685340663,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
APICAL SURFACE,,0.2763576687430489,1.6231581149033931,#E6F598,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.399183299295515,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
TGF BETA SIGNALING,,0.0916652536971268,2.634689061593015,#DED9A9,snai1ac_hot_vs_snai1ac_cold,hallmark,family_all,plot_custom_scatter_median,,SNAI1-ac consensus hot vs SNAI1-ac consensus cold,snai1ac_hot_vs_snai1ac_cold|hallmark|family_all,0.1944724411736954,False,False,reference_closer,difference < 0 means the target hotspot is closer to SNAI1-ac consensus hot than to the reference group for that contrast
