n_samples_available,sample_labels,n_positive,n_negative,n_zero,fraction_positive,fraction_negative,wilcoxon_pval,ttest_pval,sign_test_pval,median_r_hot,median_r_reference,median_delta_r,median_n_hot_pairs,median_n_reference_pairs,contrast,contrast_display,outer_variable,outer_variable_display,variable_family,median_delta_z,mean_delta_z,iqr_delta_z,median_sign_pattern,wilcoxon_qval,ttest_qval,sign_test_qval,sig_marker
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,12,11,0,0.5217391304347826,0.4782608695652174,0.6220676898956299,0.6445254893234087,1.0,-0.0016911224587504,-0.0154444945814124,0.004829226940368,216.0,1973.0,hot_vs_background,Hot vs background,COMPLEMENT,COMPLEMENT,hallmark,0.0048812439994387,-0.02078714107425187,0.2693747212662066,both_negative_hot_less_negative,0.760370211167769,0.8378831361204313,1.0,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,7,16,0,0.30434782608695654,0.6956521739130435,0.008262157440185547,0.006104201665305428,0.0931396484375,0.0252020326277867,0.0992700386422878,-0.1249130233485719,216.0,1973.0,hot_vs_background,Hot vs background,DNA_REPAIR,DNA REPAIR,hallmark,-0.1251140142127865,-0.10216260518224353,0.2775377182476288,both_positive_hot_less_positive,0.04027801752090454,0.03400912356384453,0.3302223899147727,*
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,8,15,0,0.34782608695652173,0.6521739130434783,0.6220676898956299,0.9062454696786819,0.21003961563110352,0.0062637705632601,0.046420590266067,-0.0481201612351463,216.0,1973.0,hot_vs_background,Hot vs background,E2F_TARGETS,E2F TARGETS,hallmark,-0.048466561643418,-0.006654560783259819,0.2823318926491467,both_positive_hot_less_positive,0.760370211167769,0.9306681065346393,0.3900735718863351,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,12,11,0,0.5217391304347826,0.4782608695652174,0.6433901786804199,0.7892538390028955,1.0,0.000320095959515,0.0033825190752998,0.0097381330740099,216.0,1973.0,hot_vs_background,Hot vs background,EPITHELIAL_MESENCHYMAL_TRANSITION,EPITHELIAL MESENCHYMAL TRANSITION,hallmark,0.0097382345217745,0.01296544391812094,0.31655889045205926,both_positive_hot_more_positive,0.760370211167769,0.9306681065346393,1.0,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,8,15,0,0.34782608695652173,0.6521739130434783,0.15107226371765137,0.14695755247383877,0.21003961563110352,0.0621726246593138,0.1181141943093735,-0.0775120289925446,216.0,1973.0,hot_vs_background,Hot vs background,ESTROGEN_RESPONSE_EARLY,ESTROGEN RESPONSE EARLY,hallmark,-0.078872445276819,-0.053240607880279026,0.27522382375771104,both_positive_hot_less_positive,0.34657754617578845,0.3371379144988066,0.3900735718863351,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,7,16,0,0.30434782608695654,0.6956521739130435,0.11142587661743164,0.06589066720868546,0.0931396484375,0.0519150331869168,0.0958056396737243,-0.1112010590242622,216.0,1973.0,hot_vs_background,Hot vs background,ESTROGEN_RESPONSE_LATE,ESTROGEN RESPONSE LATE,hallmark,-0.112739858525855,-0.07339271634137894,0.20220573484945004,both_positive_hot_less_positive,0.28919997811317444,0.20612351079497787,0.3302223899147727,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,6,17,0,0.2608695652173913,0.7391304347826086,0.003874063491821289,0.003653851488778873,0.03468966484069824,-0.0068265793108465,0.0778150772207587,-0.09265549814219,216.0,1973.0,hot_vs_background,Hot vs background,FATTY_ACID_METABOLISM,FATTY ACID METABOLISM,hallmark,-0.0931370190172561,-0.11472698445575687,0.22448073142270056,hot_negative_reference_positive,0.030166421617780412,0.03400912356384453,0.22548282146453857,*
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,9,14,0,0.391304347826087,0.6086956521739131,0.6010458469390869,0.8673600422564252,0.4048728942871094,0.0160763499363177,0.0370717589138805,-0.0470477640454512,216.0,1973.0,hot_vs_background,Hot vs background,G2M_CHECKPOINT,G2M CHECKPOINT,hallmark,-0.0471418077982762,-0.009669586360594232,0.29355936273305194,both_positive_hot_less_positive,0.760370211167769,0.9306681065346393,0.6073093414306641,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,7,16,0,0.30434782608695654,0.6956521739130435,0.04844093322753906,0.05329368253682684,0.0931396484375,0.0565811975195851,0.1400118384392451,-0.0833754255810944,216.0,1973.0,hot_vs_background,Hot vs background,GLYCOLYSIS,GLYCOLYSIS,hallmark,-0.0842396382098762,-0.0748018595653189,0.17098080843536118,both_positive_hot_less_positive,0.1717451268976385,0.18895032899420425,0.3302223899147727,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,13,10,0,0.5652173913043478,0.43478260869565216,0.5202305316925049,0.402941794626017,0.6776394844055176,0.0415093776981547,0.023545621841763,0.0095561933162991,216.0,1973.0,hot_vs_background,Hot vs background,HEDGEHOG_SIGNALING,HEDGEHOG SIGNALING,hallmark,0.00955795996485,0.028403573054540984,0.11548894783001934,both_positive_hot_more_positive,0.760370211167769,0.8039011989106963,0.8258731216192245,
