sample_label,source_group,source_label,compartment,n_source_spots,n_source_spots_total,percentage_within_sample_source,summary_level
yamamoto_2025__Pt1-3,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,10,141,7.092198581560283,patient_sample
yamamoto_2025__Pt1-3,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,107,141,75.88652482269504,patient_sample
yamamoto_2025__Pt1-3,snai1ac_consensus_cold,SNAI1-ac cold,Interface,24,141,17.02127659574468,patient_sample
yamamoto_2025__Pt1-3,snai12r_hot,SNAI1-2R-like hot,Tumor,70,375,18.666666666666668,patient_sample
yamamoto_2025__Pt1-3,snai12r_hot,SNAI1-2R-like hot,Stroma,202,375,53.86666666666667,patient_sample
yamamoto_2025__Pt1-3,snai12r_hot,SNAI1-2R-like hot,Interface,103,375,27.466666666666665,patient_sample
yamamoto_2025__Pt1-4,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,73,83,87.95180722891567,patient_sample
yamamoto_2025__Pt1-4,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,0,83,0.0,patient_sample
yamamoto_2025__Pt1-4,snai1ac_consensus_hot,SNAI1-ac hot,Interface,10,83,12.048192771084338,patient_sample
yamamoto_2025__Pt1-4,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,9,124,7.258064516129032,patient_sample
yamamoto_2025__Pt1-4,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,92,124,74.19354838709677,patient_sample
yamamoto_2025__Pt1-4,snai1ac_consensus_cold,SNAI1-ac cold,Interface,23,124,18.548387096774192,patient_sample
yamamoto_2025__Pt1-4,snai12r_hot,SNAI1-2R-like hot,Tumor,28,294,9.523809523809524,patient_sample
yamamoto_2025__Pt1-4,snai12r_hot,SNAI1-2R-like hot,Stroma,164,294,55.78231292517007,patient_sample
yamamoto_2025__Pt1-4,snai12r_hot,SNAI1-2R-like hot,Interface,102,294,34.69387755102041,patient_sample
yamamoto_2025__Pt2-1,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,81,127,63.77952755905512,patient_sample
yamamoto_2025__Pt2-1,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,11,127,8.661417322834646,patient_sample
yamamoto_2025__Pt2-1,snai1ac_consensus_hot,SNAI1-ac hot,Interface,35,127,27.559055118110237,patient_sample
yamamoto_2025__Pt2-1,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,14,146,9.58904109589041,patient_sample
yamamoto_2025__Pt2-1,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,73,146,50.0,patient_sample
