n_samples_available,sample_labels,n_positive,n_negative,n_zero,fraction_positive,fraction_negative,wilcoxon_pval,ttest_pval,sign_test_pval,median_corr,median_n_pairs,source_group,source_group_display,outer_variable,outer_variable_display,variable_family,median_fisher_z,mean_fisher_z,iqr_fisher_z,median_corr_from_fisher_z,mean_corr_from_fisher_z,wilcoxon_qval,ttest_qval,sign_test_qval,sig_marker
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,14,9,0,0.6086956521739131,0.391304347826087,0.14241743087768555,0.33907654568407253,0.4048728942871094,0.1045974766683753,375.0,snai12r_hot,SNAI1-2R hot,COMPLEMENT,COMPLEMENT,hallmark,0.10498145458558511,0.054697649172079886,0.24026153207677436,0.10459747666837528,0.054643165632660834,0.17917031626547536,0.3881356354843047,0.43861230214436847,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,22,1,0,0.9565217391304348,0.043478260869565216,2.384185791015625e-06,1.2092156048417787e-06,5.7220458984375e-06,0.2045448684498536,375.0,snai12r_hot,SNAI1-2R hot,DNA_REPAIR,DNA REPAIR,hallmark,0.207471314343515,0.21373854527419975,0.2355028732926524,0.2045448684498536,0.21054212061519828,9.298324584960938e-05,4.715940858882937e-05,0.0002231597900390625,****
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,14,9,0,0.6086956521739131,0.391304347826087,0.36039113998413086,0.39621988795178376,0.4048728942871094,0.0148312917101149,375.0,snai12r_hot,SNAI1-2R hot,E2F_TARGETS,E2F TARGETS,hallmark,0.014832379319633035,0.04135909481391928,0.264323845013822,0.014831291710114903,0.04133552833128341,0.36039113998413086,0.42923821194776574,0.43861230214436847,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,15,8,0,0.6521739130434783,0.34782608695652173,0.09175300598144531,0.07047066872546873,0.21003961563110352,0.1052500040833062,375.0,snai12r_hot,SNAI1-2R hot,EPITHELIAL_MESENCHYMAL_TRANSITION,EPITHELIAL MESENCHYMAL TRANSITION,hallmark,0.10564124565915467,0.10420261161112088,0.39040142264274835,0.1052500040833062,0.1038270921247645,0.12779882975987025,0.10906586467332868,0.28246706929700127,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,20,3,0,0.8695652173913043,0.13043478260869565,3.266334533691406e-05,6.657437421867711e-05,0.00048828125,0.2068374712452974,375.0,snai12r_hot,SNAI1-2R hot,ESTROGEN_RESPONSE_EARLY,ESTROGEN RESPONSE EARLY,hallmark,0.20986520098104172,0.22342629720250004,0.26588591668550043,0.20683747124529742,0.21978130001940852,0.0004246234893798828,0.0008654668648428025,0.00380859375,***
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,19,4,0,0.8260869565217391,0.17391304347826086,0.0001277923583984375,9.953073874282497e-05,0.002599477767944336,0.1661282228262554,375.0,snai12r_hot,SNAI1-2R hot,ESTROGEN_RESPONSE_LATE,ESTROGEN RESPONSE LATE,hallmark,0.16768234142004193,0.17749837833115076,0.19039714457650342,0.1661282228262554,0.17565750533412047,0.0012459754943847656,0.0009704247027425435,0.007798433303833008,**
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,15,8,0,0.6521739130434783,0.34782608695652173,0.09175300598144531,0.07271057644888579,0.21003961563110352,0.1016885240869538,375.0,snai12r_hot,SNAI1-2R hot,FATTY_ACID_METABOLISM,FATTY ACID METABOLISM,hallmark,0.10204122022148095,0.07263778831200693,0.27107421073396154,0.1016885240869538,0.07251030568842746,0.12779882975987025,0.10906586467332868,0.28246706929700127,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,12,11,0,0.5217391304347826,0.4782608695652174,0.36039113998413086,0.3483268523577093,1.0,0.0502491784980567,375.0,snai12r_hot,SNAI1-2R hot,G2M_CHECKPOINT,G2M CHECKPOINT,hallmark,0.05029153540937417,0.04670219484474491,0.3065178562291893,0.0502491784980567,0.046668270466747486,0.36039113998413086,0.3881356354843047,1.0,
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,21,2,0,0.9130434782608695,0.08695652173913043,7.867813110351562e-06,1.6840697745737973e-05,6.604194641113281e-05,0.1809840286846331,375.0,snai12r_hot,SNAI1-2R hot,GLYCOLYSIS,GLYCOLYSIS,hallmark,0.1829998539475208,0.20517403538744397,0.19660788304801324,0.1809840286846331,0.2023426735065415,0.00015342235565185547,0.00032839360604189046,0.0012878179550170898,***
23,denisenko_2022__SP1;denisenko_2022__SP2;denisenko_2022__SP3;denisenko_2022__SP4;denisenko_2022__SP5;denisenko_2022__SP6;denisenko_2022__SP7;denisenko_2022__SP8;ju_2024__CPS_OV19_LtOV1;ju_2024__CPS_OV1RtOV3;ju_2024__CPS_OV20RtOV4;ju_2024__CPS_OV24RTOV4;ju_2024__CPS_OV34RtOV1;ju_2024__CPS_OV5LtOV4;ju_2024__CPS_OV71_1;yamamoto_2025__Pt1-1;yamamoto_2025__Pt1-2;yamamoto_2025__Pt1-3;yamamoto_2025__Pt1-4;yamamoto_2025__Pt2-1;yamamoto_2025__Pt2-2;yamamoto_2025__Pt2-3;yamamoto_2025__Pt2-4,15,8,0,0.6521739130434783,0.34782608695652173,0.0034525394439697266,0.0016292345395367005,0.21003961563110352,0.0811242765876242,375.0,snai12r_hot,SNAI1-2R hot,HEDGEHOG_SIGNALING,HEDGEHOG SIGNALING,hallmark,0.08130294626136957,0.11072485513472886,0.26582410041383786,0.08112427658762421,0.11027456787703778,0.008976602554321289,0.004236009802795422,0.28246706929700127,**
